Company Name,Industry,Symbol,Series,ISIN Code
Alibaba Group Holding Ltd,Technology,9988.HK,EQ,
Tencent Holdings Ltd,Technology,0700.HK,EQ,
Meituan,Technology,3690.HK,EQ,
JD.com Inc,Technology,9618.HK,EQ,
Baidu Inc,Technology,9888.HK,EQ,
NetEase Inc,Technology,9999.HK,EQ,
Pinduoduo Inc,Technology,9961.HK,EQ,
China Construction Bank Corp,Financials,0939.HK,EQ,
Industrial and Commercial Bank of China,Financials,1398.HK,EQ,
Bank of China Ltd,Financials,3988.HK,EQ,
China Merchants Bank Co Ltd,Financials,3968.HK,EQ,
CNOOC Ltd,Energy,0883.HK,EQ,
PetroChina Co Ltd,Energy,0857.HK,EQ,
China Petroleum & Chemical Corp,Energy,0386.HK,EQ,
China Life Insurance Co Ltd,Financials,2628.HK,EQ,
Ping An Insurance Group Co,Financials,2318.HK,EQ,
China Pacific Insurance Group,Financials,2601.HK,EQ,
PICC Property and Casualty Co,Financials,2328.HK,EQ,
China Shenhua Energy Co Ltd,Energy,1088.HK,EQ,
Yanzhou Coal Mining Co Ltd,Energy,1171.HK,EQ,
China Coal Energy Co Ltd,Energy,1898.HK,EQ,
Aluminum Corporation of China,Materials,2600.HK,EQ,
China Hongqiao Group Ltd,Materials,1378.HK,EQ,
Zijin Mining Group Co Ltd,Materials,2899.HK,EQ,
Ganfeng Lithium Group Co Ltd,Materials,1772.HK,EQ,
BYD Co Ltd,Consumer Discretionary,1211.HK,EQ,
Li Ning Co Ltd,Consumer Discretionary,2331.HK,EQ,
Anta Sports Products Ltd,Consumer Discretionary,2020.HK,EQ,
China Resources Beer Holdings,Consumer Staples,0291.HK,EQ,
China Mengniu Dairy Co Ltd,Consumer Staples,2319.HK,EQ,
Want Want China Holdings Ltd,Consumer Staples,0151.HK,EQ,
China Resources Land Ltd,Real Estate,1109.HK,EQ,
Longfor Group Holdings Ltd,Real Estate,0960.HK,EQ,
Country Garden Holdings Co Ltd,Real Estate,2007.HK,EQ,
Evergrande Group,Real Estate,3333.HK,EQ,
China Vanke Co Ltd,Real Estate,2202.HK,EQ,
China Overseas Land & Investment,Real Estate,0688.HK,EQ,
China Railway Group Ltd,Industrials,0390.HK,EQ,
China Communications Construction Co,Industrials,1800.HK,EQ,
China State Construction International,Industrials,3311.HK,EQ,
