Company Name,Industry,Symbol,Series,ISIN Code
Alibaba Group Holding Ltd,Technology,9988.HK,EQ,
Tencent Holdings Ltd,Technology,0700.HK,EQ,
Meituan,Technology,3690.HK,EQ,
JD.com Inc,Technology,9618.HK,EQ,
Baidu Inc,Technology,9888.HK,EQ,
NetEase Inc,Technology,9999.HK,EQ,
Kuaishou Technology,Technology,1024.HK,EQ,
Xiaomi Corporation,Technology,1810.HK,EQ,
Bilibili Inc,Technology,9626.HK,EQ,
Weibo Corporation,Communication Services,9898.HK,EQ,
Trip.com Group Ltd,Consumer Discretionary,9961.HK,EQ,
Vnet Group Inc,Technology,9699.HK,EQ,
Kingdee International Software Group,Technology,0268.HK,EQ,
Kingsoft Corporation Ltd,Technology,3888.HK,EQ,
Sunny Optical Technology Group,Technology,2382.HK,EQ,
AAC Technologies Holdings Inc,Technology,2018.HK,EQ,
WuXi Biologics Cayman Inc,Health Care,2269.HK,EQ,
WuXi AppTec Co Ltd,Health Care,2359.HK,EQ,
Ping An Healthcare and Technology,Health Care,1833.HK,EQ,
HKEX,Financials,0388.HK,EQ,
SenseTime Group Inc,Technology,0020.HK,EQ,
Li Auto Inc,Consumer Discretionary,2015.HK,EQ,
Xpeng Inc,Consumer Discretionary,9868.HK,EQ,
NIO Inc,Consumer Discretionary,9866.HK,EQ,
Smoore International Holdings,Consumer Discretionary,6969.HK,EQ,
Nongfu Spring Co Ltd,Consumer Staples,9633.HK,EQ,
Hansoh Pharmaceutical Group,Health Care,3692.HK,EQ,
Sino Biopharmaceutical Ltd,Health Care,1177.HK,EQ,
CITIC Ltd,Financials,0267.HK,EQ,
ZTE Corporation,Communication Services,0763.HK,EQ,
