Company Name,Industry,Symbol,Series,ISIN Code
CK Hutchison,Consumer Discretionary,0001.HK,EQ,
BYD Company,Consumer Discretionary,1211.HK,EQ,
Geely Automobile,Consumer Discretionary,0175.HK,EQ,
Li Auto,Consumer Discretionary,2015.HK,EQ,
Galaxy Entertainment,Consumer Discretionary,0027.HK,EQ,
Sands China,Consumer Discretionary,1928.HK,EQ,
Trip.com Group,Consumer Discretionary,9961.HK,EQ,
Haidilao International,Consumer Discretionary,6862.HK,EQ,
Yum China Holdings,Consumer Discretionary,9987.HK,EQ,
ANTA Sports Products,Consumer Discretionary,2020.HK,EQ,
Li Ning,Consumer Discretionary,2331.HK,EQ,
Shenzhou International,Consumer Discretionary,2313.HK,EQ,
Chow Tai Fook Jewellery,Consumer Discretionary,1929.HK,EQ,
Xpeng Inc,Consumer Discretionary,9868.HK,EQ,
NIO Inc,Consumer Discretionary,9866.HK,EQ,
Smoore International Holdings,Consumer Discretionary,6969.HK,EQ,
