Company Name,Industry,Symbol,Series,ISIN Code
HSBC Holdings,Financials,0005.HK,EQ,
AIA Group,Financials,1299.HK,EQ,
Ping An Insurance,Financials,2318.HK,EQ,
China Construction Bank,Financials,0939.HK,EQ,
ICBC,Financials,1398.HK,EQ,
Bank of China,Financials,3988.HK,EQ,
Hong Kong Exchanges,Financials,0388.HK,EQ,
China Life Insurance,Financials,2628.HK,EQ,
Bank of Communications,Financials,3328.HK,EQ,
Standard Chartered,Financials,2888.HK,EQ,
Hang Seng Bank,Financials,0011.HK,EQ,
BOC Hong Kong,Financials,2388.HK,EQ,
China Merchants Bank,Financials,3968.HK,EQ,
China Pacific Insurance Group,Financials,2601.HK,EQ,
PICC Property and Casualty Co,Financials,2328.HK,EQ,
CITIC Ltd,Financials,0267.HK,EQ,
