Company Name,Industry,Symbol,Series,ISIN Code
CK Asset Holdings,Real Estate,1113.HK,EQ,
Sun Hung Kai Properties,Real Estate,0016.HK,EQ,
Link REIT,Real Estate,0823.HK,EQ,
Henderson Land,Real Estate,0012.HK,EQ,
New World Development,Real Estate,0017.HK,EQ,
Wharf Holdings,Real Estate,0004.HK,EQ,
China Resources Land,Real Estate,1109.HK,EQ,
Longfor Group,Real Estate,0960.HK,EQ,
Country Garden,Real Estate,2007.HK,EQ,
China Overseas Land,Real Estate,0688.HK,EQ,
Hang Lung Properties,Real Estate,0101.HK,EQ,
Hysan Development,Real Estate,0014.HK,EQ,
Sino Land,Real Estate,0083.HK,EQ,
Hongkong Land Holdings,Real Estate,HKL.HK,EQ,
Evergrande Group,Real Estate,3333.HK,EQ,
China Vanke Co Ltd,Real Estate,2202.HK,EQ,
