Company Name,Industry,Symbol,Series,ISIN Code
Tencent Holdings,Technology,0700.HK,EQ,
Alibaba Group,Technology,9988.HK,EQ,
Meituan,Technology,3690.HK,EQ,
Xiaomi Corporation,Technology,1810.HK,EQ,
JD.com,Technology,9618.HK,EQ,
Baidu,Technology,9888.HK,EQ,
NetEase,Technology,9999.HK,EQ,
Kuaishou Technology,Technology,1024.HK,EQ,
Lenovo Group,Technology,0992.HK,EQ,
SMIC,Technology,0981.HK,EQ,
ASMPT,Technology,0522.HK,EQ,
Sunny Optical Technology,Technology,2382.HK,EQ,
Bilibili Inc,Technology,9626.HK,EQ,
Vnet Group Inc,Technology,9699.HK,EQ,
Kingdee International Software Group,Technology,0268.HK,EQ,
Kingsoft Corporation Ltd,Technology,3888.HK,EQ,
AAC Technologies Holdings Inc,Technology,2018.HK,EQ,
SenseTime Group Inc,Technology,0020.HK,EQ,
