Company Name,Industry,Symbol,Series,ISIN Code
Bank Central Asia,Financials,BBCA.JK,EQ,
Bank Rakyat Indonesia,Financials,BBRI.JK,EQ,
Bank Mandiri,Financials,BMRI.JK,EQ,
Bank Negara Indonesia,Financials,BBNI.JK,EQ,
Telkom Indonesia,CommServices,TLKM.JK,EQ,
Astra International,ConsumerDisc,ASII.JK,EQ,
Chandra Asri Pacific,Materials,TPIA.JK,EQ,
Bayan Resources,Energy,BYAN.JK,EQ,
Barito Pacific,Energy,BRPT.JK,EQ,
Amman Mineral,Materials,AMMN.JK,EQ,
Unilever Indonesia,Consumer Staples,UNVR.JK,EQ,
Indofood CBP,Consumer Staples,ICBP.JK,EQ,
Indofood Sukses,Consumer Staples,INDF.JK,EQ,
Gudang Garam,Consumer Staples,GGRM.JK,EQ,
HM Sampoerna,Consumer Staples,HMSP.JK,EQ,
Charoen Pokphand,Consumer Staples,CPIN.JK,EQ,
Kalbe Farma,Healthcare,KLBF.JK,EQ,
Sido Muncul,Healthcare,SIDO.JK,EQ,
United Tractors,Industrials,UNTR.JK,EQ,
Adaro Energy,Energy,ADRO.JK,EQ,
Bukit Asam,Energy,PTBA.JK,EQ,
Indo Tambangraya,Energy,ITMG.JK,EQ,
Perusahaan Gas Negara,Utilities,PGAS.JK,EQ,
Vale Indonesia,Materials,INCO.JK,EQ,
Aneka Tambang,Materials,ANTM.JK,EQ,
Merdeka Copper Gold,Materials,MDKA.JK,EQ,
Semen Indonesia,Materials,SMGR.JK,EQ,
Indocement,Materials,INTP.JK,EQ,
Jasa Marga,Industrials,JSMR.JK,EQ,
Bank Syariah Indonesia,Financials,BRIS.JK,EQ,
GoTo Gojek Tokopedia,Technology,GOTO.JK,EQ,
Bank Jago,Financials,ARTO.JK,EQ,
Sumber Alfaria,Consumer Staples,AMRT.JK,EQ,
Mitra Adiperkasa,ConsumerDisc,MAPI.JK,EQ,
Ace Hardware Indonesia,ConsumerDisc,ACES.JK,EQ,
Astra Agro Lestari,Consumer Staples,AALI.JK,EQ,
PP London Sumatra,Consumer Staples,LSIP.JK,EQ,
Mayora Indah,Consumer Staples,MYOR.JK,EQ,
Bank Tabungan Negara,Financials,BBTN.JK,EQ,
Bank Danamon,Financials,BDMN.JK,EQ,
Bank CIMB Niaga,Financials,BNGA.JK,EQ,
Bank Tabungan Pensiunan,Financials,BTPS.JK,EQ,
Panin Bank,Financials,PNBN.JK,EQ,
Indah Kiat Pulp & Paper,Materials,INKP.JK,EQ,
Pabrik Kertas Tjiwi Kimia,Materials,TKIM.JK,EQ,
Surya Esa Perkasa,Energy,ESSA.JK,EQ,
Medco Energi,Energy,MEDC.JK,EQ,
Harum Energy,Energy,HRUM.JK,EQ,
Indika Energy,Energy,INDY.JK,EQ,
Pertamina Geothermal,Energy,PGEO.JK,EQ,
AKR Corporindo,Energy,AKRA.JK,EQ,
Telkom Towers Mitratel,CommServices,MTEL.JK,EQ,
Tower Bersama,CommServices,TBIG.JK,EQ,
Sarana Menara Nusantara,CommServices,TOWR.JK,EQ,
Map Aktif Adiperkasa,ConsumerDisc,MAPA.JK,EQ,
Erajaya Swasembada,ConsumerDisc,ERAA.JK,EQ,
Pakuwon Jati,RealEstate,PWON.JK,EQ,
Bumi Serpong Damai,RealEstate,BSDE.JK,EQ,
Ciputra Development,RealEstate,CTRA.JK,EQ,
Summarecon Agung,RealEstate,SMRA.JK,EQ,
Cisarua Mountain Dairy,Consumer Staples,CMRY.JK,EQ,
Mitra Keluarga Karyasehat,Healthcare,MIKA.JK,EQ,
