Company Name,Industry,Symbol,Series,ISIN Code
Unilever Indonesia,Consumer Staples,UNVR.JK,EQ,
Indofood CBP,Consumer Staples,ICBP.JK,EQ,
Indofood Sukses,Consumer Staples,INDF.JK,EQ,
Gudang Garam,Consumer Staples,GGRM.JK,EQ,
HM Sampoerna,Consumer Staples,HMSP.JK,EQ,
Charoen Pokphand,Consumer Staples,CPIN.JK,EQ,
Sumber Alfaria,Consumer Staples,AMRT.JK,EQ,
Astra Agro Lestari,Consumer Staples,AALI.JK,EQ,
PP London Sumatra,Consumer Staples,LSIP.JK,EQ,
Mayora Indah,Consumer Staples,MYOR.JK,EQ,
Cisarua Mountain Dairy,Consumer Staples,CMRY.JK,EQ,
