Company Name,Industry,Symbol,Series,ISIN Code
Adani Enterprises Ltd.,Trading - Minerals,ADANIENT,EQ,INE423A01024
Bajaj Finance Ltd.,Non Banking Financial Company (NBFC),BAJFINANCE,EQ,INE296A01032
Bharat Electronics Ltd.,Aerospace & Defense,BEL,EQ,INE263A01024
Bharti Airtel Ltd.,Telecom - Cellular & Fixed line services,BHARTIARTL,EQ,INE397D01024
Dummy Vedanta Ltd. 1,Aluminium,DUMMYVEDL1,EQ,DU1205A01025
Dummy Vedanta Ltd. 2,Power Generation,DUMMYVEDL2,EQ,DU2205A01025
Dummy Vedanta Ltd. 3,Oil Exploration & Production,DUMMYVEDL3,EQ,DU3205A01025
Dummy Vedanta Ltd. 4,Iron & Steel,DUMMYVEDL4,EQ,DU4205A01025
Eternal Ltd.,E-Retail/ E-Commerce,ETERNAL,EQ,INE758T01015
Hindustan Aeronautics Ltd.,Aerospace & Defense,HAL,EQ,INE066F01020
InterGlobe Aviation Ltd.,Airline,INDIGO,EQ,INE646L01027
Kotak Mahindra Bank Ltd.,Private Sector Bank,KOTAKBANK,EQ,INE237A01036
Maruti Suzuki India Ltd.,Passenger Cars & Utility Vehicles,MARUTI,EQ,INE585B01010
Reliance Industries Ltd.,Refineries & Marketing,RELIANCE,EQ,INE002A01018
Shriram Finance Ltd.,Non Banking Financial Company (NBFC),SHRIRAMFIN,EQ,INE721A01047
State Bank of India,Public Sector Bank,SBIN,EQ,INE062A01020
Tata Motors Passenger Vehicles Ltd.,Passenger Cars & Utility Vehicles,TMPV,EQ,INE155A01022
Trent Ltd.,Speciality Retail,TRENT,EQ,INE849A01020
Vedanta Ltd.,Diversified Metals,VEDL,EQ,INE205A01025
