Company Name,Industry,Symbol,Series,ISIN Code
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
Vedanta Aluminium Metal Ltd.,Metals & Mining,VAML,BE,INE1CDF01017
Vedanta Iron and Steel Ltd.,Metals & Mining,VISL,BE,INE1CLE01013
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Vedanta Oil and Gas Ltd.,Oil Gas & Consumable Fuels,VOGL,BE,INE704J01044
Vedanta Power Ltd.,Power,VEDPOWER,BE,INE694L01019
