Company Name,Industry,Symbol,Series,ISIN Code
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
Vedanta Aluminium Metal Ltd.,Metals & Mining,VAML,BE,INE1CDF01017
Vedanta Iron and Steel Ltd.,Metals & Mining,VISL,BE,INE1CLE01013
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Vedanta Oil and Gas Ltd.,Oil Gas & Consumable Fuels,VOGL,BE,INE704J01044
Vedanta Power Ltd.,Power,VEDPOWER,BE,INE694L01019
