Company Name,Industry,Symbol,Series,ISIN Code
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
