Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
