Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,EQ,INE451A01017
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
LTM Ltd.,Information Technology,LTM,EQ,INE214T01019
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010
