Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
