Company Name,Industry,Symbol,Series,ISIN Code
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01024
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
Choice International Ltd.,Financial Services,CHOICEIN,EQ,INE102B01014
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,EQ,INE451A01017
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014
Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
JSW Dulux Ltd.,Consumer Durables,JSWDULUX,EQ,INE133A01011
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS,EQ,INE732A01036
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS,EQ,INE818H01020
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
Nava Ltd.,Power,NAVA,EQ,INE725A01030
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01021
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010
