Company Name,Industry,Symbol,Series,ISIN Code
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036
JSW Dulux Ltd.,Consumer Durables,JSWDULUX,EQ,INE133A01011
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS,EQ,INE732A01036
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS,EQ,INE818H01020
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010
