Company Name,Industry,Symbol,Series,ISIN Code
B.A.G. Films and Media Ltd.,"Media, Entertainment & Publication",BAGFILMS,EQ,INE116D01028
Balaji Telefilms Ltd.,"Media, Entertainment & Publication",BALAJITELE,EQ,INE794B01026
Bodhi Tree Multimedia ltd.,"Media, Entertainment & Publication",BTML,EQ,INE0EEJ01023
Cineline India Ltd.,"Media, Entertainment & Publication",CINELINE,EQ,INE704H01022
Cinevista Ltd.,"Media, Entertainment & Publication",CINEVISTA,EQ,INE039B01026
Creative Eye Ltd.,"Media, Entertainment & Publication",CREATIVEYE,EQ,INE230B01021
Cyber Media (India) Ltd.,"Media, Entertainment & Publication",CYBERMEDIA,BE,INE278G01037
Den Networks Ltd.,"Media, Entertainment & Publication",DEN,EQ,INE947J01015
Digicontent Ltd.,"Media, Entertainment & Publication",DGCONTENT,BE,INE03JI01017
Diligent Media Corporation Ltd.,"Media, Entertainment & Publication",DNAMEDIA,EQ,INE016M01021
Dish TV India Ltd.,"Media, Entertainment & Publication",DISHTV,EQ,INE836F01026
Entertainment Network India Ltd.,"Media, Entertainment & Publication",ENIL,EQ,INE265F01028
GTPL Hathway Ltd.,"Media, Entertainment & Publication",GTPL,EQ,INE869I01013
Hathway Cable & Datacom Ltd.,"Media, Entertainment & Publication",HATHWAY,EQ,INE982F01036
Mukta Arts Ltd,"Media, Entertainment & Publication",MUKTAARTS,EQ,INE374B01019
Music Broadcast Ltd.,"Media, Entertainment & Publication",RADIOCITY,EQ,INE919I01024
NDTV Ltd.,"Media, Entertainment & Publication",NDTV,EQ,INE155G01029
Nazara Technologies Ltd.,"Media, Entertainment & Publication",NAZARA,EQ,INE418L01021
Network18 Media & Investments Ltd.,"Media, Entertainment & Publication",NETWORK18,EQ,INE870H01013
Next Mediaworks Ltd.,"Media, Entertainment & Publication",NEXTMEDIA,EQ,INE747B01016
OnMobile Global Ltd.,"Media, Entertainment & Publication",ONMOBILE,EQ,INE809I01019
PVR INOX Ltd.,"Media, Entertainment & Publication",PVRINOX,EQ,INE191H01014
Prime Focus Ltd,"Media, Entertainment & Publication",PFOCUS,EQ,INE367G01038
Pritish Nandy Communications Ltd.,"Media, Entertainment & Publication",PNC,BE,INE392B01011
R K Swamy Ltd.,"Media, Entertainment & Publication",RKSWAMY,EQ,INE0NQ801033
Radaan Mediaworks (I) Ltd.,"Media, Entertainment & Publication",RADAAN,BE,INE874F01027
Raj Television Network Ltd.,"Media, Entertainment & Publication",RAJTV,EQ,INE952H01027
Sab Events & Governance Now Media Ltd.,"Media, Entertainment & Publication",SABEVENTS,BE,INE860T01019
Sambhaav Media Limited,"Media, Entertainment & Publication",SAMBHAAV,BE,INE699B01027
Saregama India Ltd,"Media, Entertainment & Publication",SAREGAMA,EQ,INE979A01025
Shemaroo Entertainment Ltd.,"Media, Entertainment & Publication",SHEMAROO,BE,INE363M01019
Signpost India Ltd.,"Media, Entertainment & Publication",SIGNPOST,EQ,INE0KGZ01021
Silly Monks Entertainment Ltd.,"Media, Entertainment & Publication",SILLYMONKS,EQ,INE203Y01012
Sri Adhikari Brothers Television Network Ltd.,"Media, Entertainment & Publication",SABTNL,BE,INE416A01044
Sun TV Network Ltd.,"Media, Entertainment & Publication",SUNTV,EQ,INE424H01027
TV Today Network Ltd.,"Media, Entertainment & Publication",TVTODAY,EQ,INE038F01029
TV Vision Ltd.,"Media, Entertainment & Publication",TVVISION,BE,INE871L01013
Tips Films Ltd.,"Media, Entertainment & Publication",TIPSFILMS,EQ,INE0LQS01015
Tips Music Ltd.,"Media, Entertainment & Publication",TIPSMUSIC,EQ,INE716B01029
UFO Moviez India Ltd.,"Media, Entertainment & Publication",UFO,EQ,INE527H01019
Vertoz Ltd.,"Media, Entertainment & Publication",VERTOZ,BE,INE188Y01023
Zee Entertainment Enterprises Ltd.,"Media, Entertainment & Publication",ZEEL,EQ,INE256A01028
Zee Media Corporation Ltd.,"Media, Entertainment & Publication",ZEEMEDIA,EQ,INE966H01019
