Company Name,Industry,Symbol,Series,ISIN Code
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
Tata Motors Ltd.,Capital Goods,TMCV,EQ,INE1TAE01010
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
