Company Name,Industry,Symbol,Series,ISIN Code
Automotive Stampings & Assemblies Ltd.,Automobile and Auto Components,ASAL,EQ,INE900C01027
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
NELCO Ltd.,Information Technology,NELCO,EQ,INE045B01015
Oriental Hotels Ltd.,Consumer Services,ORIENTHOT,EQ,INE750A01020
Rallis India Ltd.,Chemicals,RALLIS,EQ,INE613A01020
TRF Ltd.,Capital Goods,TRF,EQ,INE391D01019
Taj GVK Hotels & Resorts Ltd.,Consumer Services,TAJGVK,EQ,INE586B01026
Tata Capital Ltd.,Financial Services,TATACAP,EQ,INE976I01016
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01026
Tata Motors Ltd.,Capital Goods,TMCV,EQ,INE1TAE01010
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
