Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
