Company Name,Industry,Symbol,Series,ISIN Code
Intesa Sanpaolo,Financials,ISP.MI,EQ,
UniCredit,Financials,UCG.MI,EQ,
Generali,Financials,G.MI,EQ,
Banco BPM,Financials,BAMI.MI,EQ,
Mediobanca,Financials,MB.MI,EQ,
Banca Mediolanum,Financials,BMED.MI,EQ,
FinecoBank,Financials,FBK.MI,EQ,
Poste Italiane,Financials,PST.MI,EQ,
Unipol,Financials,UNI.MI,EQ,
Banca Popolare Sondrio,Financials,BPSO.MI,EQ,
BPER Banca,Financials,BPE.MI,EQ,
Azimut Holding,Financials,AZM.MI,EQ,
Banca Generali,Financials,BGN.MI,EQ,
Banca Monte dei Paschi,Financials,BMPS.MI,EQ,
Credito Emiliano,Financials,CE.MI,EQ,
Anima Holding,Financials,ANIM.MI,EQ,
