Company Name,Industry,Symbol,Series,ISIN Code
Toyota Motor Corporation,Consumer Discretionary,7203.T,EQ,
Honda Motor Co. Ltd,Consumer Discretionary,7267.T,EQ,
Nissan Motor Co. Ltd,Consumer Discretionary,7201.T,EQ,
Mazda Motor Corporation,Consumer Discretionary,7261.T,EQ,
Subaru Corporation,Consumer Discretionary,7270.T,EQ,
Mitsubishi Motors Corporation,Consumer Discretionary,7211.T,EQ,
Suzuki Motor Corporation,Consumer Discretionary,7269.T,EQ,
Sony Group Corporation,Consumer Discretionary,6758.T,EQ,
Panasonic Holdings Corporation,Consumer Discretionary,6752.T,EQ,
Sharp Corporation,Technology,6753.T,EQ,
Toshiba Corporation,Industrials,6502.T,EQ,
Hitachi Ltd,Industrials,6501.T,EQ,
Mitsubishi Electric Corporation,Industrials,6503.T,EQ,
NEC Corporation,Technology,6701.T,EQ,
Fujitsu Ltd,Technology,6702.T,EQ,
Canon Inc.,Technology,7751.T,EQ,
Ricoh Co. Ltd,Technology,7752.T,EQ,
Kyocera Corporation,Technology,6971.T,EQ,
TDK Corporation,Technology,6762.T,EQ,
Murata Manufacturing Co. Ltd,Technology,6981.T,EQ,
Keyence Corporation,Technology,6861.T,EQ,
Fanuc Corporation,Industrials,6954.T,EQ,
Nidec Corporation,Industrials,6594.T,EQ,
Advantest Corporation,Technology,6857.T,EQ,
Shin-Etsu Chemical Co. Ltd,Materials,4063.T,EQ,
Tokyo Electron Ltd,Technology,8035.T,EQ,
Renesas Electronics Corporation,Technology,6723.T,EQ,
SCREEN Holdings Co. Ltd,Technology,7735.T,EQ,
Mitsubishi UFJ Financial Group Inc.,Financials,8306.T,EQ,
Sumitomo Mitsui Financial Group Inc.,Financials,8316.T,EQ,
Mizuho Financial Group Inc.,Financials,8411.T,EQ,
Nomura Holdings Inc.,Financials,8604.T,EQ,
Daiwa Securities Group Inc.,Financials,8601.T,EQ,
Tokio Marine Holdings Inc.,Financials,8766.T,EQ,
MS&AD Insurance Group Holdings Inc.,Financials,8725.T,EQ,
Sompo Holdings Inc.,Financials,8630.T,EQ,
T&D Holdings Inc.,Financials,8795.T,EQ,
Japan Post Holdings Co. Ltd,Financials,6178.T,EQ,
Japan Post Bank Co. Ltd,Financials,7182.T,EQ,
Japan Post Insurance Co. Ltd,Financials,7181.T,EQ,
Orix Corporation,Financials,8591.T,EQ,
Nippon Steel Corporation,Materials,5401.T,EQ,
JFE Holdings Inc.,Materials,5411.T,EQ,
Sumitomo Metal Mining Co. Ltd,Materials,5713.T,EQ,
Mitsubishi Materials Corporation,Materials,5711.T,EQ,
Asahi Glass Co. Ltd (AGC),Materials,5201.T,EQ,
Nippon Sheet Glass Co. Ltd,Materials,5202.T,EQ,
Toray Industries Inc.,Materials,3402.T,EQ,
Teijin Ltd,Materials,3401.T,EQ,
Kuraray Co. Ltd,Materials,3405.T,EQ,
Asahi Kasei Corporation,Materials,3407.T,EQ,
Mitsui Chemicals Inc.,Materials,4183.T,EQ,
Sumitomo Chemical Co. Ltd,Materials,4005.T,EQ,
Mitsubishi Chemical Group Corporation,Materials,4188.T,EQ,
Kao Corporation,Consumer Staples,4452.T,EQ,
Takeda Pharmaceutical Co. Ltd,Health Care,4502.T,EQ,
Astellas Pharma Inc.,Health Care,4503.T,EQ,
Daiichi Sankyo Co. Ltd,Health Care,4568.T,EQ,
Eisai Co. Ltd,Health Care,4523.T,EQ,
Chugai Pharmaceutical Co. Ltd,Health Care,4519.T,EQ,
Shionogi & Co. Ltd,Health Care,4507.T,EQ,
Ono Pharmaceutical Co. Ltd,Health Care,4528.T,EQ,
Terumo Corporation,Health Care,4543.T,EQ,
Olympus Corporation,Health Care,7733.T,EQ,
Hoya Corporation,Health Care,7741.T,EQ,
Nippon Telegraph and Telephone Corporation (NTT),Communication Services,9432.T,EQ,
SoftBank Group Corp.,Communication Services,9984.T,EQ,
KDDI Corporation,Communication Services,9433.T,EQ,
SoftBank Corp.,Communication Services,9434.T,EQ,
Nippon Television Holdings Inc.,Communication Services,9404.T,EQ,
Fuji Media Holdings Inc.,Communication Services,4676.T,EQ,
Asahi Group Holdings Ltd,Consumer Staples,2502.T,EQ,
Kirin Holdings Co. Ltd,Consumer Staples,2503.T,EQ,
Sapporo Holdings Ltd,Consumer Staples,2501.T,EQ,
Ajinomoto Co. Inc.,Consumer Staples,2802.T,EQ,
Meiji Holdings Co. Ltd,Consumer Staples,2269.T,EQ,
Nisshin Seifun Group Inc.,Consumer Staples,2002.T,EQ,
Yakult Honsha Co. Ltd,Consumer Staples,2267.T,EQ,
Lawson Inc.,Consumer Staples,2651.T,EQ,
Seven & i Holdings Co. Ltd,Consumer Staples,3382.T,EQ,
FamilyMart Co. Ltd,Consumer Staples,8028.T,EQ,
Mitsubishi Corporation,Industrials,8058.T,EQ,
Mitsui & Co. Ltd,Industrials,8031.T,EQ,
Sumitomo Corporation,Industrials,8053.T,EQ,
Itochu Corporation,Industrials,8001.T,EQ,
Marubeni Corporation,Industrials,8002.T,EQ,
Toyota Tsusho Corporation,Industrials,8015.T,EQ,
Sojitz Corporation,Industrials,2768.T,EQ,
East Japan Railway Co.,Industrials,9020.T,EQ,
West Japan Railway Co.,Industrials,9021.T,EQ,
Central Japan Railway Co.,Industrials,9022.T,EQ,
Nippon Express Holdings Inc.,Industrials,9147.T,EQ,
ANA Holdings Inc.,Industrials,9202.T,EQ,
Japan Airlines Co. Ltd,Industrials,9201.T,EQ,
Mitsui Fudosan Co. Ltd,Real Estate,8801.T,EQ,
Mitsubishi Estate Co. Ltd,Real Estate,8802.T,EQ,
Sumitomo Realty & Development Co. Ltd,Real Estate,8830.T,EQ,
Tokyu Fudosan Holdings Corporation,Real Estate,3289.T,EQ,
Tokyo Electric Power Company Holdings Inc.,Utilities,9501.T,EQ,
Kansai Electric Power Co. Inc.,Utilities,9503.T,EQ,
