Symbol,Company Name,TV_Sector
9984S,oftBank Group Corp.,Communications
285A,Kioxia Holdings Corporation,Electronic technology
8306M,"itsubishi UFJ Financial Group, Inc.",Finance
7203T,oyota Motor Corp.,Consumer durables
8035T,okyo Electron Ltd.,Producer manufacturing
9983F,"AST RETAILING CO., LTD.",Retail trade
6501H,"itachi, Ltd.",Producer manufacturing
8316S,"umitomo Mitsui Financial Group, Inc.",Finance
6758S,ony Group Corporation,Electronic technology
6861K,eyence Corporation,Electronic technology
6857A,dvantest Corp.,Electronic technology
6981M,"urata Manufacturing Co., Ltd.",Electronic technology
8411M,"izuho Financial Group, Inc.",Finance
8058M,itsubishi Corporation,Distribution services
4063S,hin-Etsu Chemical Co Ltd,Process industries
6098R,"ecruit Holdings Co., Ltd.",Technology services
8001I,tochu Corporation,Distribution services
8031M,"itsui & Co.,Ltd",Process industries
8766T,"okio Marine Holdings, Inc.",Finance
6503M,itsubishi Electric Corp.,Producer manufacturing
9432N,TT Inc,Communications
4519C,"hugai Pharmaceutical Co., Ltd.",Health technology
7011M,"itsubishi Heavy Industries, Ltd.",Producer manufacturing
5802S,"umitomo Electric Industries, Ltd.",Producer manufacturing
2914J,apan Tobacco Inc.,Consumer non-durables
9434S,oftBank Corp.,Communications
9433K,DDI Corporation,Communications
7741H,OYA CORPORATION,Health technology
6752P,anasonic Holdings Corporation,Consumer durables
5803F,ujikura Ltd,Producer manufacturing
7974N,"intendo Co., Ltd.",Consumer durables
6723R,enesas Electronics Corporation,Electronic technology
8002M,arubeni Corporation,Process industries
8053S,umitomo Corporation,Distribution services
4502T,akeda Pharmaceutical Co. Ltd.,Health technology
6762T,DK Corporation,Electronic technology
6146D,isco Corporation,Producer manufacturing
6954F,anuc Corporation,Producer manufacturing
6367D,"AIKIN INDUSTRIES, LTD.",Producer manufacturing
8015T,oyota Tsusho Corp.,Distribution services
8591O,RIX Corporation,Finance
6301K,omatsu Ltd.,Producer manufacturing
8725M,"S&AD Insurance Group Holdings, Inc.",Finance
6702F,ujitsu Limited,Technology services
4062I,"BIDEN CO., LTD.",Electronic technology
8750D,aiichi Life Group. Inc.,Finance
6178J,"APAN POST HOLDINGS Co., Ltd.",Finance
4578O,"tsuka Holdings Co., Ltd.",Health technology
7267H,"onda Motor Co., Ltd.",Consumer durables
6701N,EC Corporation,Technology services
8630S,"ompo Holdings,Inc.",Finance
6902D,ENSO CORPORATION,Producer manufacturing
6971K,yocera Corporation,Distribution services
3382S,"even & I Holdings Co., Ltd.",Retail trade
2802A,"jinomoto Co., Inc.",Consumer non-durables
8802M,"itsubishi Estate Company, Limited",Finance
8308R,"esona Holdings, Inc.",Finance
4568D,"aiichi Sankyo Company, Limited",Health technology
1605I,npex Corporation,Energy minerals
5108B,ridgestone Corporation,Consumer durables
7751C,anon Inc.,Electronic technology
4901F,UJIFILM Holdings Corp,Health technology
8801M,"itsui Fudosan Co., Ltd.",Finance
6273S,MC Corporation,Producer manufacturing
8309S,"umitomo Mitsui Trust Group, Inc.",Finance
4503A,stellas Pharma Inc.,Health technology
8604N,"omura Holdings, Inc.",Finance
6920L,asertec Corp.,Electronic technology
9020E,ast Japan Railway Company,Transportation
8267A,"EON Co., Ltd.",Retail trade
5801F,"urukawa Electric Co., Ltd.",Producer manufacturing
7269S,uzuki Motor Corp.,Consumer durables
4661O,"riental Land Co., Ltd.",Consumer services
5020E,"NEOS Holdings, Inc.",Energy minerals
8830S,"umitomo Realty & Development Co., Ltd.",Finance
4004R,esonac Holdings Corporation,Process industries
6326K,ubota Corporation,Producer manufacturing
4543T,erumo Corporation,Health technology
9022C,entral Japan Railway Company,Transportation
5401N,IPPON STEEL CORP.,Non-energy minerals
9735S,"ecom Co., Ltd.",Commercial services
4307N,"omura Research Institute,Ltd.",Technology services
1925D,"aiwa House Industry Co., Ltd.",Consumer durables
4689L,Y Corporation,Technology services
5706M,"itsui Kinzoku Co., Ltd.",Non-energy minerals
4452K,ao Corporation,Consumer non-durables
9766K,ONAMI Group Corporation,Technology services
1812K,ajima Corporation,Industrial services
7013I,HI Corporation,Producer manufacturing
7532P,an Pacific International Holdings Corporation,Retail trade
6361E,bara Corporation,Producer manufacturing
9503K,"ansai Electric Power Company, Incorporated",Utilities
5713S,"umitomo Metal Mining Co., Ltd.",Non-energy minerals
7735S,"CREEN Holdings Co., Ltd",Producer manufacturing
4507S,"hionogi & Co., Ltd.",Health technology
7832B,andai Namco Holdings Inc.,Consumer durables
3407A,sahi Kasei Corporation,Process industries
7012K,awasaki Heavy Industries Ltd.,Consumer durables
2502A,sahi Group Holdings Ltd,Consumer non-durables
6963R,OHM Company Limited,Electronic technology
9532O,"saka Gas Co., Ltd.",Utilities
8697J,"apan Exchange Group, Inc.",Finance
9101N,ippon Yusen Kabushiki Kaisha,Transportation
1802O,bayashi Corporation,Consumer durables
2503K,irin Holdings Co. Ltd.,Consumer non-durables
9502C,"hubu Electric Power Company,Incorporated",Utilities
6504F,"uji Electric Co., Ltd.",Producer manufacturing
1928S,"ekisui House, Ltd.",Finance
6976T,"aiyo Yuden Co., Ltd.",Electronic technology
9531T,"OKYO GAS Co., Ltd.",Utilities
1801T,aisei Corporation,Industrial services
8601D,aiwa Securities Group Inc.,Finance
7733O,lympus Corp.,Health technology
8795T,"&D Holdings, Inc.",Finance
6988N,itto Denko Corp.,Electronic technology
7453R,"yohin Keikaku Co., Ltd.",Consumer non-durables
9104M,"itsui O.S.K.Lines,Ltd.",Transportation
6479M,inebeaMitsumi Inc.,Electronic technology
6506Y,askawa Electric Corporation,Producer manufacturing
7186Y,"okohama Financial Group, Inc.",Finance
3659N,"EXON Co., Ltd.",Technology services
7270S,ubaru Corporation,Consumer durables
5333N,GK Corp.,Producer manufacturing
5201A,GC Inc.,Consumer durables
4755R,"akuten Group, Inc.",Retail trade
5019I,"demitsu Kosan Co., Ltd.",Energy minerals
