Company Name,Industry,Symbol,Series,ISIN Code
Aeon Co. Ltd.,Consumer Discretionary,8267.T,EQ,
Bandai Namco Holdings Inc.,Consumer Discretionary,7832.T,EQ,
Bridgestone Corporation,Consumer Discretionary,5108.T,EQ,
Daiwa House Industry Co. Ltd.,Consumer Discretionary,1925.T,EQ,
Denso Corporation,Consumer Discretionary,6902.T,EQ,
Fast Retailing Co. Ltd.,Consumer Discretionary,9983.T,EQ,
Honda Motor Co. Ltd.,Consumer Discretionary,7267.T,EQ,
Isetan Mitsukoshi Holdings Ltd.,Consumer Discretionary,3099.T,EQ,
Isuzu Motors Ltd.,Consumer Discretionary,7202.T,EQ,
J. Front Retailing Co. Ltd.,Consumer Discretionary,3086.T,EQ,
Mazda Motor Corporation,Consumer Discretionary,7261.T,EQ,
Mercari Inc.,Consumer Discretionary,4385.T,EQ,
Mitsubishi Motors Corporation,Consumer Discretionary,7211.T,EQ,
Nintendo Co. Ltd.,Consumer Discretionary,7974.T,EQ,
Nissan Motor Co. Ltd.,Consumer Discretionary,7201.T,EQ,
Nitori Holdings Co. Ltd.,Consumer Discretionary,9843.T,EQ,
Oriental Land Co. Ltd.,Consumer Discretionary,4661.T,EQ,
Pan Pacific International Holdings Corporation,Consumer Discretionary,7532.T,EQ,
Panasonic Holdings Corporation,Consumer Discretionary,6752.T,EQ,
Rakuten Group Inc.,Consumer Discretionary,4755.T,EQ,
Seven & i Holdings Co. Ltd.,Consumer Discretionary,3382.T,EQ,
Sony Group Corporation,Consumer Discretionary,6758.T,EQ,
Subaru Corporation,Consumer Discretionary,7270.T,EQ,
Suzuki Motor Corporation,Consumer Discretionary,7269.T,EQ,
Takashimaya Co. Ltd.,Consumer Discretionary,8233.T,EQ,
The Yokohama Rubber Co. Ltd.,Consumer Discretionary,5101.T,EQ,
Toho Co. Ltd.,Consumer Discretionary,9602.T,EQ,
Toyota Motor Corporation,Consumer Discretionary,7203.T,EQ,
Yamaha Corporation,Consumer Discretionary,7951.T,EQ,
Yamaha Motor Co. Ltd.,Consumer Discretionary,7272.T,EQ,
ZOZO Inc.,Consumer Discretionary,3092.T,EQ,
