Company Name,Industry,Symbol,Series,ISIN Code
Ajinomoto Co. Inc.,Consumer Staples,2802.T,EQ,
Asahi Group Holdings Ltd.,Consumer Staples,2502.T,EQ,
Japan Tobacco Inc.,Consumer Staples,2914.T,EQ,
Kao Corporation,Consumer Staples,4452.T,EQ,
Kikkoman Corporation,Consumer Staples,2801.T,EQ,
Kirin Holdings Co. Ltd.,Consumer Staples,2503.T,EQ,
Meiji Holdings Co. Ltd.,Consumer Staples,2269.T,EQ,
NH Foods Ltd.,Consumer Staples,2282.T,EQ,
Nissui Corporation,Consumer Staples,1332.T,EQ,
Ryohin Keikaku Co. Ltd.,Consumer Staples,7453.T,EQ,
Sapporo Holdings Ltd.,Consumer Staples,2501.T,EQ,
Shiseido Co. Ltd.,Consumer Staples,4911.T,EQ,
