Company Name,Industry,Symbol,Series,ISIN Code
Aozora Bank Ltd.,Financials,8304.T,EQ,
Chiba Bank Ltd.,Financials,8331.T,EQ,
Concordia Financial Group Ltd.,Financials,7186.T,EQ,
Credit Saison Co. Ltd.,Financials,8253.T,EQ,
Dai-ichi Life Holdings Inc.,Financials,8750.T,EQ,
Daiwa Securities Group Inc.,Financials,8601.T,EQ,
Fukuoka Financial Group Inc.,Financials,8354.T,EQ,
Japan Exchange Group Inc.,Financials,8697.T,EQ,
Japan Post Holdings Co. Ltd.,Financials,6178.T,EQ,
MS&AD Insurance Group Holdings Inc.,Financials,8725.T,EQ,
Marui Group Co. Ltd.,Financials,8252.T,EQ,
Mitsubishi UFJ Financial Group Inc.,Financials,8306.T,EQ,
Mizuho Financial Group Inc.,Financials,8411.T,EQ,
Nomura Holdings Inc.,Financials,8604.T,EQ,
ORIX Corporation,Financials,8591.T,EQ,
Resona Holdings Inc.,Financials,8308.T,EQ,
Shizuoka Financial Group Inc.,Financials,5831.T,EQ,
Sompo Holdings Inc.,Financials,8630.T,EQ,
Sumitomo Mitsui Financial Group Inc.,Financials,8316.T,EQ,
Sumitomo Mitsui Trust Holdings Inc.,Financials,8309.T,EQ,
T&D Holdings Inc.,Financials,8795.T,EQ,
Tokio Marine Holdings Inc.,Financials,8766.T,EQ,
