Company Name,Industry,Symbol,Series,ISIN Code
Astellas Pharma Inc.,Health Care,4503.T,EQ,
Chugai Pharmaceutical Co. Ltd.,Health Care,4519.T,EQ,
Daiichi Sankyo Co. Ltd.,Health Care,4568.T,EQ,
Eisai Co. Ltd.,Health Care,4523.T,EQ,
Fujifilm Holdings Corporation,Health Care,4901.T,EQ,
Hoya Corporation,Health Care,7741.T,EQ,
Kyowa Kirin Co. Ltd.,Health Care,4151.T,EQ,
Olympus Corporation,Health Care,7733.T,EQ,
Otsuka Holdings Co. Ltd.,Health Care,4578.T,EQ,
Shionogi & Co. Ltd.,Health Care,4507.T,EQ,
Sumitomo Pharma Co. Ltd.,Health Care,4506.T,EQ,
Takeda Pharmaceutical Co. Ltd.,Health Care,4502.T,EQ,
Terumo Corporation,Health Care,4543.T,EQ,
