Company Name,Industry,Symbol,Series,ISIN Code
OYA CORPORATION,Health Technology,7741H.T,EQ,
UJIFILM Holdings Corp,Health Technology,4901F.T,EQ,
"aiichi Sankyo Company, Limited",Health Technology,4568D.T,EQ,
akeda Pharmaceutical Co. Ltd.,Health Technology,4502T.T,EQ,
erumo Corporation,Health Technology,4543T.T,EQ,
"hionogi & Co., Ltd.",Health Technology,4507S.T,EQ,
"hugai Pharmaceutical Co., Ltd.",Health Technology,4519C.T,EQ,
lympus Corp.,Health Technology,7733O.T,EQ,
stellas Pharma Inc.,Health Technology,4503A.T,EQ,
"tsuka Holdings Co., Ltd.",Health Technology,4578O.T,EQ,
umitomo Pharma Co.Ltd.,Health Technology,4506S.T,EQ,
"yowa Kirin Co., Ltd.",Health Technology,4151K.T,EQ,
