Company Name,Industry,Symbol,Series,ISIN Code
ANA Holdings Inc.,Industrials,9202.T,EQ,
Amada Co. Ltd.,Industrials,6113.T,EQ,
Archion Corporation,Industrials,543A.T,EQ,
BayCurrent Inc.,Industrials,6532.T,EQ,
COMSYS Holdings Corporation,Industrials,1721.T,EQ,
Central Japan Railway Company,Industrials,9022.T,EQ,
Dai Nippon Printing Co. Ltd.,Industrials,7912.T,EQ,
Daikin Industries Ltd.,Industrials,6367.T,EQ,
Dentsu Group Inc.,Industrials,4324.T,EQ,
Disco Corporation,Industrials,6146.T,EQ,
East Japan Railway Company,Industrials,9020.T,EQ,
Ebara Corporation,Industrials,6361.T,EQ,
Fanuc Corporation,Industrials,6954.T,EQ,
Fuji Electric Co. Ltd.,Industrials,6504.T,EQ,
Fujikura Ltd.,Industrials,5803.T,EQ,
Furukawa Electric Co. Ltd.,Industrials,5801.T,EQ,
Haseko Corporation,Industrials,1808.T,EQ,
Hitachi Construction Machinery Co. Ltd.,Industrials,6305.T,EQ,
Hitachi Ltd.,Industrials,6501.T,EQ,
IHI Corporation,Industrials,7013.T,EQ,
Itochu Corporation,Industrials,8001.T,EQ,
JGC Holdings Corporation,Industrials,1963.T,EQ,
JTEKT Corporation,Industrials,6473.T,EQ,
Japan Airlines Co. Ltd.,Industrials,9201.T,EQ,
Japan Steel Works Ltd.,Industrials,5631.T,EQ,
Kajima Corporation,Industrials,1812.T,EQ,
Kanadevia Corporation,Industrials,7004.T,EQ,
Kawasaki Heavy Industries Ltd.,Industrials,7012.T,EQ,
Kawasaki Kisen Kaisha Ltd.,Industrials,9107.T,EQ,
Keio Corporation,Industrials,9008.T,EQ,
Keisei Electric Railway Co. Ltd.,Industrials,9009.T,EQ,
Komatsu Ltd.,Industrials,6301.T,EQ,
Konica Minolta Inc.,Industrials,4902.T,EQ,
Kubota Corporation,Industrials,6326.T,EQ,
Marubeni Corporation,Industrials,8002.T,EQ,
Mitsubishi Corporation,Industrials,8058.T,EQ,
Mitsubishi Electric Corporation,Industrials,6503.T,EQ,
Mitsubishi Heavy Industries Ltd.,Industrials,7011.T,EQ,
Mitsubishi Materials Corporation,Industrials,5711.T,EQ,
Mitsui & Co. Ltd.,Industrials,8031.T,EQ,
Mitsui O.S.K. Lines Ltd.,Industrials,9104.T,EQ,
NGK Insulators Ltd.,Industrials,5333.T,EQ,
NSK Ltd.,Industrials,6471.T,EQ,
NTN Corporation,Industrials,6472.T,EQ,
Nippon Express Holdings Inc.,Industrials,9147.T,EQ,
Nippon Yusen Kabushiki Kaisha,Industrials,9101.T,EQ,
Obayashi Corporation,Industrials,1802.T,EQ,
Odakyu Electric Railway Co. Ltd.,Industrials,9007.T,EQ,
Okuma Corporation,Industrials,6103.T,EQ,
Omron Corporation,Industrials,6645.T,EQ,
Recruit Holdings Co. Ltd.,Industrials,6098.T,EQ,
SCREEN Holdings Co. Ltd.,Industrials,7735.T,EQ,
SMC Corporation,Industrials,6273.T,EQ,
SUMCO Corporation,Industrials,3436.T,EQ,
Secom Co. Ltd.,Industrials,9735.T,EQ,
Shimizu Corporation,Industrials,1803.T,EQ,
Sojitz Corporation,Industrials,2768.T,EQ,
Sumitomo Corporation,Industrials,8053.T,EQ,
Sumitomo Electric Industries Ltd.,Industrials,5802.T,EQ,
Sumitomo Heavy Industries Ltd.,Industrials,6302.T,EQ,
TOTO Ltd.,Industrials,5332.T,EQ,
Taisei Corporation,Industrials,1801.T,EQ,
Tobu Railway Co. Ltd.,Industrials,9001.T,EQ,
Tokai Carbon Co. Ltd.,Industrials,5301.T,EQ,
Tokyo Electron Ltd.,Industrials,8035.T,EQ,
Tokyu Corporation,Industrials,9005.T,EQ,
Toppan Holdings Inc.,Industrials,7911.T,EQ,
Toyota Tsusho Corporation,Industrials,8015.T,EQ,
West Japan Railway Company,Industrials,9021.T,EQ,
Yamato Holdings Co. Ltd.,Industrials,9064.T,EQ,
Yaskawa Electric Corporation,Industrials,6506.T,EQ,
