Company Name,Industry,Symbol,Series,ISIN Code
AGC Inc.,Materials,5201.T,EQ,
Asahi Kasei Corporation,Materials,3407.T,EQ,
Denka Co. Ltd.,Materials,4061.T,EQ,
Dowa Holdings Co. Ltd.,Materials,5714.T,EQ,
JFE Holdings Inc.,Materials,5411.T,EQ,
Kobe Steel Ltd.,Materials,5406.T,EQ,
Kuraray Co. Ltd.,Materials,3405.T,EQ,
Mitsubishi Chemical Group Corporation,Materials,4188.T,EQ,
Mitsui Chemicals Inc.,Materials,4183.T,EQ,
Mitsui Mining and Smelting Co. Ltd.,Materials,5706.T,EQ,
Nichirei Corporation,Materials,2871.T,EQ,
Nippon Steel Corporation,Materials,5401.T,EQ,
Nissan Chemical Corporation,Materials,4021.T,EQ,
Nisshin Seifun Group Inc.,Materials,2002.T,EQ,
Oji Holdings Corporation,Materials,3861.T,EQ,
Resonac Holdings Corporation,Materials,4004.T,EQ,
Shin-Etsu Chemical Co. Ltd.,Materials,4063.T,EQ,
Sumitomo Chemical Co. Ltd.,Materials,4005.T,EQ,
Sumitomo Metal Mining Co. Ltd.,Materials,5713.T,EQ,
Taiheiyo Cement Corporation,Materials,5233.T,EQ,
Teijin Ltd.,Materials,3401.T,EQ,
Tokuyama Corporation,Materials,4043.T,EQ,
Toray Industries Inc.,Materials,3402.T,EQ,
Tosoh Corporation,Materials,4042.T,EQ,
UBE Corporation,Materials,4208.T,EQ,
