Company Name,Industry,Symbol,Series,ISIN Code
Advantest Corporation,Technology,6857.T,EQ,
Alps Alpine Co. Ltd.,Technology,6770.T,EQ,
Canon Inc.,Technology,7751.T,EQ,
CyberAgent Inc.,Technology,4751.T,EQ,
DeNA Co. Ltd.,Technology,2432.T,EQ,
Fujitsu Ltd.,Technology,6702.T,EQ,
Ibiden Co. Ltd.,Technology,4062.T,EQ,
Keyence Corporation,Technology,6861.T,EQ,
Kioxia Holdings Corporation,Technology,285A.T,EQ,
Konami Group Corporation,Technology,9766.T,EQ,
Kyocera Corporation,Technology,6971.T,EQ,
LY Corporation,Technology,4689.T,EQ,
Lasertec Corporation,Technology,6920.T,EQ,
M3 Inc.,Technology,2413.T,EQ,
MinebeaMitsumi Inc.,Technology,6479.T,EQ,
Murata Manufacturing Co. Ltd.,Technology,6981.T,EQ,
NEC Corporation,Technology,6701.T,EQ,
Nexon Co. Ltd.,Technology,3659.T,EQ,
Nikon Corporation,Technology,7731.T,EQ,
Nippon Electric Glass Co. Ltd.,Technology,5214.T,EQ,
Nitto Denko Corporation,Technology,6988.T,EQ,
Nomura Research Institute Ltd.,Technology,4307.T,EQ,
Renesas Electronics Corporation,Technology,6723.T,EQ,
Ricoh Co. Ltd.,Technology,7752.T,EQ,
Rohm Co. Ltd.,Technology,6963.T,EQ,
SHIFT Inc.,Technology,3697.T,EQ,
Seiko Epson Corporation,Technology,6724.T,EQ,
Sharp Corporation,Technology,6753.T,EQ,
Socionext Inc.,Technology,6526.T,EQ,
TDK Corporation,Technology,6762.T,EQ,
Taiyo Yuden Co. Ltd.,Technology,6976.T,EQ,
Trend Micro Incorporated,Technology,4704.T,EQ,
Yokogawa Electric Corporation,Technology,6841.T,EQ,
