Company Name,Industry,Symbol,Series,ISIN Code
KDDI Corporation,Communication Services,9433.T,EQ,
Nippon Telegraph and Telephone Corporation,Communication Services,9432.T,EQ,
SoftBank Group Corp.,Communication Services,9984.T,EQ,
Aisin Corporation,Consumer Discretionary,7259.T,EQ,
Bandai Namco Holdings Inc.,Consumer Discretionary,7832.T,EQ,
Bridgestone Corporation,Consumer Discretionary,5108.T,EQ,
Daiwa House Industry Co. Ltd.,Consumer Discretionary,1925.T,EQ,
Denso Corporation,Consumer Discretionary,6902.T,EQ,
Fast Retailing Co. Ltd.,Consumer Discretionary,9983.T,EQ,
Honda Motor Co. Ltd.,Consumer Discretionary,7267.T,EQ,
Mazda Motor Corporation,Consumer Discretionary,7261.T,EQ,
Nintendo Co. Ltd.,Consumer Discretionary,7974.T,EQ,
Nissan Motor Co. Ltd.,Consumer Discretionary,7201.T,EQ,
Nitori Holdings Co. Ltd.,Consumer Discretionary,9843.T,EQ,
Pan Pacific International Holdings Corporation,Consumer Discretionary,7532.T,EQ,
Panasonic Holdings Corporation,Consumer Discretionary,6752.T,EQ,
Sony Group Corporation,Consumer Discretionary,6758.T,EQ,
Subaru Corporation,Consumer Discretionary,7270.T,EQ,
Suzuki Motor Corporation,Consumer Discretionary,7269.T,EQ,
Toyota Motor Corporation,Consumer Discretionary,7203.T,EQ,
Yamaha Motor Co. Ltd.,Consumer Discretionary,7272.T,EQ,
Aeon Co. Ltd.,Consumer Staples,8267.T,EQ,
Ajinomoto Co. Inc.,Consumer Staples,2802.T,EQ,
Asahi Group Holdings Ltd.,Consumer Staples,2502.T,EQ,
Japan Tobacco Inc.,Consumer Staples,2914.T,EQ,
Kao Corporation,Consumer Staples,4452.T,EQ,
Kirin Holdings Co. Ltd.,Consumer Staples,2503.T,EQ,
Meiji Holdings Co. Ltd.,Consumer Staples,2269.T,EQ,
Nissin Foods Holdings Co. Ltd.,Consumer Staples,2897.T,EQ,
Seven & i Holdings Co. Ltd.,Consumer Staples,3382.T,EQ,
Shiseido Co. Ltd.,Consumer Staples,4911.T,EQ,
Suntory Beverage & Food Ltd.,Consumer Staples,2587.T,EQ,
Unicharm Corporation,Consumer Staples,8113.T,EQ,
ENEOS Holdings Inc.,Energy,5020.T,EQ,
INPEX Corporation,Energy,1605.T,EQ,
Idemitsu Kosan Co. Ltd.,Energy,5019.T,EQ,
Concordia Financial Group Ltd.,Financials,7186.T,EQ,
Daiwa Securities Group Inc.,Financials,8601.T,EQ,
Japan Post Bank Co. Ltd.,Financials,7182.T,EQ,
Japan Post Holdings Co. Ltd.,Financials,6178.T,EQ,
MS&AD Insurance Group Holdings Inc.,Financials,8725.T,EQ,
Mitsubishi UFJ Financial Group Inc.,Financials,8306.T,EQ,
Mizuho Financial Group Inc.,Financials,8411.T,EQ,
Nomura Holdings Inc.,Financials,8604.T,EQ,
ORIX Corporation,Financials,8591.T,EQ,
Resona Holdings Inc.,Financials,8308.T,EQ,
SBI Holdings Inc.,Financials,8473.T,EQ,
Sumitomo Mitsui Financial Group Inc.,Financials,8316.T,EQ,
T&D Holdings Inc.,Financials,8795.T,EQ,
Tokio Marine Holdings Inc.,Financials,8766.T,EQ,
Astellas Pharma Inc.,Health Care,4503.T,EQ,
Chugai Pharmaceutical Co. Ltd.,Health Care,4519.T,EQ,
Daiichi Sankyo Co. Ltd.,Health Care,4568.T,EQ,
Eisai Co. Ltd.,Health Care,4523.T,EQ,
Hoya Corporation,Health Care,7741.T,EQ,
Olympus Corporation,Health Care,7733.T,EQ,
Ono Pharmaceutical Co. Ltd.,Health Care,4528.T,EQ,
Otsuka Holdings Co. Ltd.,Health Care,4578.T,EQ,
Shionogi & Co. Ltd.,Health Care,4507.T,EQ,
Sysmex Corporation,Health Care,6869.T,EQ,
Takeda Pharmaceutical Co. Ltd.,Health Care,4502.T,EQ,
Terumo Corporation,Health Care,4543.T,EQ,
ANA Holdings Inc.,Industrials,9202.T,EQ,
Central Japan Railway Company,Industrials,9022.T,EQ,
Daikin Industries Ltd.,Industrials,6367.T,EQ,
Disco Corporation,Industrials,6146.T,EQ,
East Japan Railway Company,Industrials,9020.T,EQ,
Fanuc Corporation,Industrials,6954.T,EQ,
Hitachi Construction Machinery Co. Ltd.,Industrials,6305.T,EQ,
Hitachi Ltd.,Industrials,6501.T,EQ,
IHI Corporation,Industrials,7013.T,EQ,
Itochu Corporation,Industrials,8001.T,EQ,
Kawasaki Heavy Industries Ltd.,Industrials,7012.T,EQ,
Komatsu Ltd.,Industrials,6301.T,EQ,
Kubota Corporation,Industrials,6326.T,EQ,
Marubeni Corporation,Industrials,8002.T,EQ,
Mitsubishi Corporation,Industrials,8058.T,EQ,
Mitsubishi Electric Corporation,Industrials,6503.T,EQ,
Mitsubishi Heavy Industries Ltd.,Industrials,7011.T,EQ,
Mitsui & Co. Ltd.,Industrials,8031.T,EQ,
Mitsui O.S.K. Lines Ltd.,Industrials,9104.T,EQ,
Nidec Corporation,Industrials,6594.T,EQ,
Nippon Yusen Kabushiki Kaisha,Industrials,9101.T,EQ,
Recruit Holdings Co. Ltd.,Industrials,6098.T,EQ,
SMC Corporation,Industrials,6273.T,EQ,
Sumitomo Corporation,Industrials,8053.T,EQ,
West Japan Railway Company,Industrials,9021.T,EQ,
Yaskawa Electric Corporation,Industrials,6506.T,EQ,
Asahi Kasei Corporation,Materials,3407.T,EQ,
JFE Holdings Inc.,Materials,5411.T,EQ,
Mitsubishi Chemical Group Corporation,Materials,4188.T,EQ,
Nippon Steel Corporation,Materials,5401.T,EQ,
Shin-Etsu Chemical Co. Ltd.,Materials,4063.T,EQ,
Sumitomo Chemical Co. Ltd.,Materials,4005.T,EQ,
Sumitomo Metal Mining Co. Ltd.,Materials,5713.T,EQ,
Toray Industries Inc.,Materials,3402.T,EQ,
Mitsubishi Estate Co. Ltd.,Real Estate,8802.T,EQ,
Mitsui Fudosan Co. Ltd.,Real Estate,8801.T,EQ,
Sumitomo Realty & Development Co. Ltd.,Real Estate,8830.T,EQ,
Advantest Corporation,Technology,6857.T,EQ,
Canon Inc.,Technology,7751.T,EQ,
Fujitsu Ltd.,Technology,6702.T,EQ,
Keyence Corporation,Technology,6861.T,EQ,
Kyocera Corporation,Technology,6971.T,EQ,
LY Corporation,Technology,4689.T,EQ,
Lasertec Corporation,Technology,6920.T,EQ,
Murata Manufacturing Co. Ltd.,Technology,6981.T,EQ,
NEC Corporation,Technology,6701.T,EQ,
Nexon Co. Ltd.,Technology,3659.T,EQ,
Nitto Denko Corporation,Technology,6988.T,EQ,
Omron Corporation,Technology,6645.T,EQ,
Renesas Electronics Corporation,Technology,6723.T,EQ,
Ricoh Co. Ltd.,Technology,7752.T,EQ,
Rohm Co. Ltd.,Technology,6963.T,EQ,
SHIFT Inc.,Technology,3697.T,EQ,
Seiko Epson Corporation,Technology,6724.T,EQ,
Sharp Corporation,Technology,6753.T,EQ,
TDK Corporation,Technology,6762.T,EQ,
Tokyo Electron Ltd.,Technology,8035.T,EQ,
Chubu Electric Power Co. Inc.,Utilities,9502.T,EQ,
Kansai Electric Power Co. Inc.,Utilities,9503.T,EQ,
Tokyo Electric Power Company Holdings Inc.,Utilities,9501.T,EQ,
Tokyo Gas Co. Ltd.,Utilities,9531.T,EQ,
