Company Name,Industry,Symbol,Series,ISIN Code
Samsung Electronics Co. Ltd.,Technology,005930.KS,EQ,
SK hynix Inc.,Technology,000660.KS,EQ,
SK Square Co. Ltd.,Financials,402340.KS,EQ,
Hyundai Motor Company,Consumer Discretionary,005380.KS,EQ,
Samsung Electro-Mechanics Co. Ltd,Technology,009150.KS,EQ,
LG Energy Solution Ltd.,Industrials,373220.KS,EQ,
Samsung Life Insurance Co. Ltd.,Financials,032830.KS,EQ,
SAMSUNG C&T CORP,Industrials,028260.KS,EQ,
HD Hyundai Heavy Industries Co. Ltd.,Industrials,329180.KS,EQ,
Hyundai Mobis Co. Ltd,Industrials,012330.KS,EQ,
LG Electronics Inc.,Consumer Discretionary,066570.KS,EQ,
Kia Corporation,Consumer Discretionary,000270.KS,EQ,
Doosan Enerbility Co. Ltd.,Industrials,034020.KS,EQ,
SAMSUNG BIOLOGICS Co. Ltd.,Health Care,207940.KS,EQ,
KB Financial Group Inc.,Financials,105560.KS,EQ,
Hanwha Aerospace Co. Ltd.,Technology,012450.KS,EQ,
Samsung SDI Co. Ltd,Industrials,006400.KS,EQ,
Shinhan Financial Group Co. Ltd.,Financials,055550.KS,EQ,
NAVER Corp.,Technology,035420.KS,EQ,
Celltrion Inc.,Health Care,068270.KS,EQ,
SK Inc.,Financials,034730.KS,EQ,
LS Electric Co. Ltd.,Industrials,010120.KS,EQ,
HD Hyundai Electric,Industrials,267260.KS,EQ,
Hanwha Ocean Co. Ltd.,Industrials,042660.KS,EQ,
Hyosung Heavy Industries Corp.,Industrials,298040.KS,EQ,
Hana Financial Group Inc.,Financials,086790.KS,EQ,
LG Innotek Co. Ltd,Technology,011070.KS,EQ,
POSCO Holdings Inc.,Materials,005490.KS,EQ,
Doosan Corporation,Industrials,000150.KS,EQ,
MIRAE ASSET SECURITIES CO. LTD.,Financials,006800.KS,EQ,
HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO. LTD.,Industrials,009540.KS,EQ,
Korea Zinc Co. Ltd.,Materials,010130.KS,EQ,
SK Telecom Co. Ltd.,Communication Services,017670.KS,EQ,
LG Chem Ltd.,Materials,051910.KS,EQ,
Hanmi Semiconductor Co. Ltd,Industrials,042700.KS,EQ,
Samsung Fire & Marine Insurance Co. Ltd,Financials,000810.KS,EQ,
Hyundai Autoever Corp.,Technology,307950.KS,EQ,
Korea Electric Power Corporation,Utilities,015760.KS,EQ,
Samsung Heavy Industries Co. Ltd,Industrials,010140.KS,EQ,
SAMSUNG SDS CO. LTD.,Technology,018260.KS,EQ,
Hyundai Rotem Co.,Industrials,064350.KS,EQ,
Woori Financial Group Inc.,Financials,316140.KS,EQ,
LG Corp,Consumer Discretionary,003550.KS,EQ,
POSCO FUTURE M CO. LTD.,Technology,003670.KS,EQ,
HD HYUNDAI CO.LTD.,Industrials,267250.KS,EQ,
SK Innovation Co. Ltd,Energy,096770.KS,EQ,
KT & G Corporation,Consumer Staples,033780.KS,EQ,
Kakao Corp.,Technology,035720.KS,EQ,
HMM CO.LTD,Industrials,011200.KS,EQ,
Hanwha Systems Co. Ltd.,Technology,272210.KS,EQ,
Meritz Financial Group Inc.,Financials,138040.KS,EQ,
HYUNDAI GLOVIS Co. Ltd.,Industrials,086280.KS,EQ,
Industrial Bank Of Korea,Financials,024110.KS,EQ,
LIG Defense&Aerospace,Technology,079550.KS,EQ,
APR Co.Ltd.,Consumer Staples,278470.KS,EQ,
Hyundai Engineering & Construction Co. Ltd,Consumer Discretionary,000720.KS,EQ,
Korea Aerospace Industries Ltd.,Technology,047810.KS,EQ,
KOREA INVESTMENT HOLDINGS CO LTD,Financials,071050.KS,EQ,
LG CNS Co. Ltd.,Technology,064400.KS,EQ,
KT Corporation,Communication Services,030200.KS,EQ,
S-Oil Corporation,Energy,010950.KS,EQ,
LS Corp.,Industrials,006260.KS,EQ,
NH INVESTMENT & SECURITIES CO.LTD.,Financials,005940.KS,EQ,
Krafton Inc.,Technology,259960.KS,EQ,
Doosan Robotics Inc.,Industrials,454910.KS,EQ,
Samsung Securities Co. Ltd.,Financials,016360.KS,EQ,
KakaoBank Corp.,Financials,323410.KS,EQ,
POSCO INTERNATIONAL Corporation,Industrials,047050.KS,EQ,
HD Hyundai Marine Solution Co. Ltd.,Industrials,443060.KS,EQ,
ISU Petasys Co. Ltd.,Technology,007660.KS,EQ,
SAMSUNG E&A CO. LTD.,Industrials,028050.KS,EQ,
Korean Air Lines Co. Ltd.,Industrials,003490.KS,EQ,
Daewoo Engineering & Construction Co. Ltd,Consumer Discretionary,047040.KS,EQ,
Kiwoom Securities Co. Ltd,Financials,039490.KS,EQ,
HYBE Co. Ltd.,Industrials,352820.KS,EQ,
HANKOOK TIRE & TECHNOLOGY Co. Ltd.,Consumer Discretionary,161390.KS,EQ,
Samyang Foods Co. Ltd,Consumer Staples,003230.KS,EQ,
LG Display Co. Ltd,Technology,034220.KS,EQ,
DB INSURANCE CO. LTD,Financials,005830.KS,EQ,
Taihan Cable & Solution Co. Ltd.,Industrials,001440.KS,EQ,
Daeduck Electronics Co. Ltd.,Technology,353200.KS,EQ,
Hanwha Corp,Materials,000880.KS,EQ,
HANJIN KAL Corp.,Consumer Discretionary,180640.KS,EQ,
HD Construction Equipment Co. Ltd.,Industrials,267270.KS,EQ,
HANWHA SOLUTIONS CORPORATION,Technology,009830.KS,EQ,
SK Biopharmaceuticals Co. Ltd.,Health Care,326030.KS,EQ,
Sanil Electric Co. Ltd.,Industrials,062040.KS,EQ,
LG Uplus Corp,Communication Services,032640.KS,EQ,
GS Holdings Corp.,Consumer Discretionary,078930.KS,EQ,
Amorepacific Corp.,Consumer Staples,090430.KS,EQ,
DB HiTek Co. LTD,Technology,000990.KS,EQ,
Coway Co. Ltd.,Consumer Discretionary,021240.KS,EQ,
SKC Co. Ltd.,Materials,011790.KS,EQ,
NC Corporation,Technology,036570.KS,EQ,
Hanmi Pharmaceutical Co. Ltd.,Health Care,128940.KS,EQ,
Gaon Cable Co. Ltd.,Industrials,000500.KS,EQ,
kakaopay Corp.,Industrials,377300.KS,EQ,
Doosan Bobcat Inc.,Industrials,241560.KS,EQ,
Yuhan Corporation,Health Care,000100.KS,EQ,
OCI Holdings Company Ltd.,Materials,010060.KS,EQ,
L & F Co. Ltd.,Technology,066970.KS,EQ,
CJ Corporation,Consumer Staples,001040.KS,EQ,
Doosan Fuel Cell Co. Ltd.,Technology,336260.KS,EQ,
POSCO DX COMPANY LTD.,Technology,022100.KS,EQ,
BNK Financial Group Inc.,Financials,138930.KS,EQ,
Hanon Systems,Industrials,018880.KS,EQ,
ORION CORP.,Consumer Staples,271560.KS,EQ,
Samsung Card Co. Ltd,Financials,029780.KS,EQ,
Hyundai Steel Company,Materials,004020.KS,EQ,
Shinsegae Co. Ltd,Consumer Discretionary,004170.KS,EQ,
Hanwha Engine Co. Ltd.,Industrials,082740.KS,EQ,
KEPCO Engineering & Construction Co. Inc.,Industrials,052690.KS,EQ,
JB Financial Group Co. Ltd.,Financials,175330.KS,EQ,
Lotte Shopping Co. Ltd,Consumer Discretionary,023530.KS,EQ,
Ecopro Materials Co Ltd.,Materials,450080.KS,EQ,
Iljin Electric Co. Ltd.,Industrials,103590.KS,EQ,
KCC Corporation,Materials,002380.KS,EQ,
LG H&H Co. Ltd.,Consumer Staples,051900.KS,EQ,
HANWHA LIFE INSURANCE Co. Ltd.,Financials,088350.KS,EQ,
LOTTE ENERGY MATERIALS CORPORATION,Industrials,020150.KS,EQ,
Netmarble Corp.,Technology,251270.KS,EQ,
Hanwha Vision Co. Ltd.,Technology,489790.KS,EQ,
Youngone Corp.,Consumer Staples,111770.KS,EQ,
Lotte Chemical Corporation,Materials,011170.KS,EQ,
SK bioscience Co.Ltd.,Health Care,302440.KS,EQ,
DOUZONE BIZON CO.LTD,Technology,012510.KS,EQ,
Hyosung Corporation,Financials,004800.KS,EQ,
CJ CheilJedang Corporation,Industrials,097950.KS,EQ,
SL Corporation,Industrials,005850.KS,EQ,
Seoul Guarantee Insurance Company,Financials,031210.KS,EQ,
Kangwon Land Inc.,Consumer Discretionary,035250.KS,EQ,
Kumho Petrochemical Co. Ltd.,Materials,011780.KS,EQ,
Korea Gas Corporation,Utilities,036460.KS,EQ,
Hanall Biopharma Co. Ltd.,Health Care,009420.KS,EQ,
HL Mando Co. Ltd.,Industrials,204320.KS,EQ,
DL E&C Co. Ltd.,Industrials,375500.KS,EQ,
iM Financial Group Co. Ltd.,Financials,139130.KS,EQ,
Hyundai Elevator Co. Ltd,Industrials,017800.KS,EQ,
Hansol Chemical Co. Ltd,Materials,014680.KS,EQ,
Korea Circuit Co. Ltd.,Technology,007810.KS,EQ,
Pan Ocean Co. Ltd.,Industrials,028670.KS,EQ,
F&F Co. Ltd.,Consumer Staples,383220.KS,EQ,
ISU SPECIALTY CHEMICAL Co. Ltd.,Materials,457190.KS,EQ,
Hyundai Marine & Fire Insurance Co. Ltd.,Financials,001450.KS,EQ,
Hyundai Department Store Co. Ltd,Consumer Discretionary,069960.KS,EQ,
S-1 Corporation,Industrials,012750.KS,EQ,
SK Networks Co. Ltd.,Industrials,001740.KS,EQ,
GS Engineering & Construction Corporation,Consumer Discretionary,006360.KS,EQ,
Dongsuh Companies Inc.,Consumer Staples,026960.KS,EQ,
E-MART Inc.,Consumer Discretionary,139480.KS,EQ,
HANKOOK & COMPANY CO. LTD.,Industrials,000240.KS,EQ,
DAEHAN SHIPBUILDING Co. Ltd.,Industrials,439260.KS,EQ,
Dalba Global Co. Ltd.,Consumer Staples,483650.KS,EQ,
Korean Reinsurance Company,Financials,003690.KS,EQ,
BGF retail CO. LTD.,Consumer Discretionary,282330.KS,EQ,
KEPCO Plant Service & Engineering Co. Ltd,Industrials,051600.KS,EQ,
Hyundai Wia Corporation,Industrials,011210.KS,EQ,
Mirae Asset Life Insurance Co. Ltd.,Financials,085620.KS,EQ,
Nongshim Co. Ltd.,Consumer Staples,004370.KS,EQ,
HD-Hyundai Marine Engine Co. Ltd.,Industrials,071970.KS,EQ,
Hanmi Science Co. Ltd,Industrials,008930.KS,EQ,
DN AUTOMOTIVE CORPORATION,Industrials,007340.KS,EQ,
GS Retail Co. Ltd.,Consumer Discretionary,007070.KS,EQ,
Misto Holdings Corporation,Consumer Staples,081660.KS,EQ,
Youngone Holdings Co. Ltd.,Consumer Staples,009970.KS,EQ,
Kolon Industries Inc.,Materials,120110.KS,EQ,
Poongsan Corporation,Materials,103140.KS,EQ,
SK Gas Co. Ltd.,Utilities,018670.KS,EQ,
KOLMAR KOREA CO. LTD,Consumer Staples,161890.KS,EQ,
LS Eco Energy Ltd.,Industrials,229640.KS,EQ,
HOTEL SHILLA CO. LTD.,Consumer Discretionary,008770.KS,EQ,
HJ SHIPBUILDING & CONSTRUCTION CO. LTD,Industrials,097230.KS,EQ,
COSMAX Inc.,Consumer Staples,192820.KS,EQ,
CS Wind Corp.,Industrials,112610.KS,EQ,
Cheil Worldwide Inc,Industrials,030000.KS,EQ,
HYUNDAI G.F. HOLDINGS CO. LTD.,Consumer Discretionary,005440.KS,EQ,
HD HYUNDAI ENERGY SOLUTIONS CO. LTD.,Technology,322000.KS,EQ,
Lotte Corp,Consumer Staples,004990.KS,EQ,
SeAH Besteel Holdings Corporation,Materials,001430.KS,EQ,
SHIFT UP Corp,Technology,462870.KS,EQ,
AMOREPACIFIC Holdings Corp.,Consumer Staples,002790.KS,EQ,
Daishin Securities Co. Ltd,Financials,003540.KS,EQ,
CJ Logistics Corp,Industrials,000120.KS,EQ,
NHN Corporation,Technology,181710.KS,EQ,
DAOU TECHNOLOGY Inc.,Financials,023590.KS,EQ,
Cosmo AM&T Co. Ltd.,Technology,005070.KS,EQ,
ORION Holdings Corporation,Consumer Staples,001800.KS,EQ,
Hankuk Carbon Co. Ltd,Materials,017960.KS,EQ,
Hyosung TNC Corp.,Materials,298020.KS,EQ,
SK REIT Co. Ltd.,Financials,395400.KS,EQ,
Dongwon Industries Co. Ltd,Industrials,006040.KS,EQ,
GC Biopharma Corp.,Health Care,006280.KS,EQ,
Sk Ie Technology Co. Ltd.,Materials,361610.KS,EQ,
STX Engine Co. Ltd.,Industrials,077970.KS,EQ,
