Company Name,Industry,Symbol,Series,ISIN Code
Hugel Inc,Health Care,145020.KQ,EQ,
Seegene Inc,Health Care,096530.KQ,EQ,
Pearl Abyss Corp,Technology,263750.KQ,EQ,
Krafton Inc,Technology,259960.KQ,EQ,
Com2uS Corp,Technology,078340.KQ,EQ,
NCSoft Corporation,Technology,036570.KQ,EQ,
Netmarble Corp,Technology,251270.KQ,EQ,
Douzone Bizon Co Ltd,Technology,012510.KQ,EQ,
Vuno Inc,Health Care,338220.KQ,EQ,
Solus Advanced Materials Co Ltd,Technology,336370.KQ,EQ,
Ecopro BM Co Ltd,Materials,247540.KQ,EQ,
Ecopro Co Ltd,Materials,086520.KQ,EQ,
POSCO Future M Co Ltd,Materials,003670.KQ,EQ,
LG Energy Solution Ltd,Technology,373220.KQ,EQ,
Iljin Materials Co Ltd,Materials,020150.KQ,EQ,
Foosung Co Ltd,Materials,093370.KQ,EQ,
SKC Kolon PI Inc,Materials,178600.KQ,EQ,
Samsung SDI Co Ltd,Technology,006400.KQ,EQ,
Leeno Industrial Inc,Technology,058470.KQ,EQ,
Jusung Engineering Co Ltd,Technology,036930.KQ,EQ,
Silicon Works Co Ltd,Technology,108320.KQ,EQ,
Classys Inc,Health Care,214150.KQ,EQ,
Osstem Implant Co Ltd,Health Care,048260.KQ,EQ,
Dentium Co Ltd,Health Care,145720.KQ,EQ,
Cosmax Inc,Consumer Staples,044820.KQ,EQ,
Kolmar Korea Co Ltd,Consumer Staples,161890.KQ,EQ,
Medy-Tox Inc,Health Care,086900.KQ,EQ,
Bioneer Corporation,Health Care,064550.KQ,EQ,
OliX Pharmaceuticals Inc,Health Care,226950.KQ,EQ,
ISC Co Ltd,Technology,095340.KQ,EQ,
