Company Name,Industry,Symbol,Series,ISIN Code
Samsung Electronics,Technology,005930.KS,EQ,
SK Hynix,Technology,000660.KS,EQ,
LG Electronics,Technology,066570.KS,EQ,
Samsung SDI,Technology,006400.KS,EQ,
Samsung Electro-Mechanics,Technology,009150.KS,EQ,
LG Display,Technology,034220.KS,EQ,
Kakao,Technology,035720.KS,EQ,
NAVER,Technology,035420.KS,EQ,
Krafton,Technology,259960.KS,EQ,
Celltrion,Health Care,068270.KS,EQ,
Samsung Biologics,Health Care,207940.KS,EQ,
Hugel Inc,Health Care,145020.KS,EQ,
HLB Life Science,Health Care,067280.KS,EQ,
Hyundai Motor,Consumer Discretionary,005380.KS,EQ,
Kia Corporation,Consumer Discretionary,000270.KS,EQ,
LG Chemical,Materials,051910.KS,EQ,
Posco Holdings,Materials,005490.KS,EQ,
Hyundai Steel,Materials,004020.KS,EQ,
POSCO Future M,Materials,003670.KS,EQ,
Kumho Petrochemical,Materials,011780.KS,EQ,
Korea Zinc,Materials,010130.KS,EQ,
Samsung Fire and Marine,Financials,000810.KS,EQ,
KB Financial Group,Financials,105560.KS,EQ,
Shinhan Financial Group,Financials,055550.KS,EQ,
Hana Financial Group,Financials,086790.KS,EQ,
Woori Financial Group,Financials,316140.KS,EQ,
Korea Investment Holdings,Financials,071050.KS,EQ,
KEPCO,Utilities,015760.KS,EQ,
Korea Gas,Utilities,036460.KS,EQ,
SK Innovation,Energy,096770.KS,EQ,
S-Oil,Energy,010950.KS,EQ,
Korea Shipbuilding,Industrials,009540.KS,EQ,
HD Hyundai Heavy,Industrials,329180.KS,EQ,
Samsung Heavy Industries,Industrials,010140.KS,EQ,
Hanwha Ocean,Industrials,042660.KS,EQ,
Hyundai Rotem,Industrials,064350.KS,EQ,
LG Innotek,Industrials,011070.KS,EQ,
Hanwha Solutions,Industrials,009830.KS,EQ,
KT Corporation,Communication Services,030200.KS,EQ,
SK Telecom,Communication Services,017670.KS,EQ,
LG Uplus,Communication Services,032640.KS,EQ,
Lotte Chemical,Materials,011170.KS,EQ,
E-Mart,Consumer Staples,139480.KS,EQ,
BGF Retail,Consumer Staples,282330.KS,EQ,
GS Retail,Consumer Staples,007070.KS,EQ,
LG Energy Solution,Technology,373220.KS,EQ,
Hyundai Mobis,Consumer Discretionary,012330.KS,EQ,
Samsung C&T,Industrials,028260.KS,EQ,
Samsung Life Insurance,Financials,032830.KS,EQ,
Mirae Asset Securities,Financials,006800.KS,EQ,
Meritz Financial Group,Financials,138040.KS,EQ,
DB Insurance,Financials,005830.KS,EQ,
Hyundai Marine & Fire,Financials,001450.KS,EQ,
HMM Co,Industrials,011200.KS,EQ,
Hanon Systems,Consumer Discretionary,018880.KS,EQ,
Hankook Tire,Consumer Discretionary,161390.KS,EQ,
Coupang,Consumer Discretionary,CPNG,EQ,
Amorepacific,Consumer Staples,090430.KS,EQ,
LG Household & Health Care,Consumer Staples,051900.KS,EQ,
KT&G,Consumer Staples,033780.KS,EQ,
Orion Corp,Consumer Staples,271560.KS,EQ,
CJ CheilJedang,Consumer Staples,097950.KS,EQ,
Lotte Shopping,Consumer Staples,023530.KS,EQ,
SK Square,Technology,402340.KS,EQ,
SK Inc,Industrials,034730.KS,EQ,
LG Corp,Industrials,003550.KS,EQ,
Hyundai Engineering & Construction,Industrials,000720.KS,EQ,
GS Engineering & Construction,Industrials,006360.KS,EQ,
Doosan Enerbility,Industrials,034020.KS,EQ,
Hanwha Aerospace,Industrials,012450.KS,EQ,
Korea Aerospace Industries,Industrials,047810.KS,EQ,
Posco International,Industrials,047050.KS,EQ,
SK Biopharmaceuticals,Health Care,326030.KS,EQ,
Yuhan Corp,Health Care,000100.KS,EQ,
Netmarble,Technology,251270.KS,EQ,
NCSoft,Technology,036570.KS,EQ,
Pearl Abyss,Technology,263750.KQ,EQ,
Kakao Bank Corp,Financials,323410.KS,EQ,
Kakao Pay Corp,Financials,377300.KS,EQ,
