Company Name,Industry,Symbol,Series,ISIN Code
Hyundai Motor Company,Consumer Discretionary,005380.KS,EQ,
LG Electronics Inc.,Consumer Discretionary,066570.KS,EQ,
Kia Corporation,Consumer Discretionary,000270.KS,EQ,
LG Corp,Consumer Discretionary,003550.KS,EQ,
Hyundai Engineering & Construction Co. Ltd,Consumer Discretionary,000720.KS,EQ,
Daewoo Engineering & Construction Co. Ltd,Consumer Discretionary,047040.KS,EQ,
HANKOOK TIRE & TECHNOLOGY Co. Ltd.,Consumer Discretionary,161390.KS,EQ,
HANJIN KAL Corp.,Consumer Discretionary,180640.KS,EQ,
GS Holdings Corp.,Consumer Discretionary,078930.KS,EQ,
Coway Co. Ltd.,Consumer Discretionary,021240.KS,EQ,
Shinsegae Co. Ltd,Consumer Discretionary,004170.KS,EQ,
Lotte Shopping Co. Ltd,Consumer Discretionary,023530.KS,EQ,
Kangwon Land Inc.,Consumer Discretionary,035250.KS,EQ,
Hyundai Department Store Co. Ltd,Consumer Discretionary,069960.KS,EQ,
GS Engineering & Construction Corporation,Consumer Discretionary,006360.KS,EQ,
E-MART Inc.,Consumer Discretionary,139480.KS,EQ,
BGF retail CO. LTD.,Consumer Discretionary,282330.KS,EQ,
GS Retail Co. Ltd.,Consumer Discretionary,007070.KS,EQ,
HOTEL SHILLA CO. LTD.,Consumer Discretionary,008770.KS,EQ,
HYUNDAI G.F. HOLDINGS CO. LTD.,Consumer Discretionary,005440.KS,EQ,
Lotte Tour Development Co. Ltd.,Consumer Discretionary,032350.KS,EQ,
Kumho Tire Co. Inc.,Consumer Discretionary,073240.KS,EQ,
Paradise Co. Ltd,Consumer Discretionary,034230.KS,EQ,
Kyung Dong Navien Co. Ltd.,Consumer Discretionary,009450.KS,EQ,
Hyundai Home Shopping Network Corporation,Consumer Discretionary,057050.KS,EQ,
GS P&L Co.Ltd.,Consumer Discretionary,499790.KS,EQ,
Cuckoo Holdings Co. Ltd.,Consumer Discretionary,192400.KS,EQ,
Kolon Corporation,Consumer Discretionary,002020.KS,EQ,
CJ CGV Co. Ltd,Consumer Discretionary,079160.KS,EQ,
Nexen Tire Corp,Consumer Discretionary,002350.KS,EQ,
Grand Korea Leisure Co. Ltd.,Consumer Discretionary,114090.KS,EQ,
KG Mobility,Consumer Discretionary,003620.KS,EQ,
HYUNDAI GREEN FOOD CO. LTD,Consumer Discretionary,453340.KS,EQ,
HANWHA GALLERIA CORPORATION,Consumer Discretionary,452260.KS,EQ,
Hanatour Service Inc.,Consumer Discretionary,039130.KS,EQ,
Hanssem Co. Ltd,Consumer Discretionary,009240.KS,EQ,
CUCKOO HOMESYS CO.LTD,Consumer Discretionary,284740.KS,EQ,
Shinsegae International Co. Ltd,Consumer Discretionary,031430.KS,EQ,
K Car Co. Ltd.,Consumer Discretionary,381970.KS,EQ,
Nexen Corporation,Consumer Discretionary,005720.KS,EQ,
Gwangju Shinsegae Co. Ltd.,Consumer Discretionary,037710.KS,EQ,
LG HelloVision Corp.,Consumer Discretionary,037560.KS,EQ,
Born Korea Co. Ltd.,Consumer Discretionary,475560.KS,EQ,
SM BEXEL CO. LTD.,Consumer Discretionary,010580.KS,EQ,
Seoul Broadcasting System Co. Ltd.,Consumer Discretionary,034120.KS,EQ,
iMarket Korea Inc.,Consumer Discretionary,122900.KS,EQ,
LS Networks Corporation Ltd.,Consumer Discretionary,000680.KS,EQ,
SK D&D Co. Ltd.,Consumer Discretionary,210980.KS,EQ,
KT Skylife Co. Ltd,Consumer Discretionary,053210.KS,EQ,
E-WORLD CO. LTD.,Consumer Discretionary,084680.KS,EQ,
Hansol Holdings Co. Ltd.,Consumer Discretionary,004150.KS,EQ,
LOTTE Himart Co. Ltd.,Consumer Discretionary,071840.KS,EQ,
KUMHO Engineering & Construction Co. Ltd.,Consumer Discretionary,002990.KS,EQ,
HYUNDAI LIVART FURNITURE CO LTD,Consumer Discretionary,079430.KS,EQ,
Hanshin Construction Co. Ltd.,Consumer Discretionary,004960.KS,EQ,
MONA YONGPYONG CORPORATION,Consumer Discretionary,070960.KS,EQ,
CHA AI Healthkare Co.Ltd.,Consumer Discretionary,025620.KS,EQ,
Anam Electronics Co. Ltd,Consumer Discretionary,008700.KS,EQ,
Samick Musical Instruments Co. Ltd,Consumer Discretionary,002450.KS,EQ,
Savezone I & C Corp.,Consumer Discretionary,067830.KS,EQ,
ContentreeJoongAng corp.,Consumer Discretionary,036420.KS,EQ,
Daekyo Co. Ltd,Consumer Discretionary,019680.KS,EQ,
Woongjin Thinkbig Co. Ltd,Consumer Discretionary,095720.KS,EQ,
DONG IN ENTECH Co.Ltd.,Consumer Discretionary,111380.KS,EQ,
Oyang Corporation,Consumer Discretionary,006090.KS,EQ,
Visang Education Inc.,Consumer Discretionary,100220.KS,EQ,
NK Co. Ltd.,Consumer Discretionary,085310.KS,EQ,
Daegu Department Store Co. Ltd,Consumer Discretionary,006370.KS,EQ,
ENPLUS CO. LTD,Consumer Discretionary,074610.KS,EQ,
Century Co. Ltd.,Consumer Discretionary,002420.KS,EQ,
DYA Co. Ltd,Consumer Discretionary,002880.KS,EQ,
Hansol HomeDeco Co. Ltd.,Consumer Discretionary,025750.KS,EQ,
KR Motors Co. Ltd.,Consumer Discretionary,000040.KS,EQ,
Daelim Trading Co. Ltd,Consumer Discretionary,006570.KS,EQ,
Daewon Chemical Co. Ltd,Consumer Discretionary,024890.KS,EQ,
Ascendio Co. Ltd.,Consumer Discretionary,012170.KS,EQ,
Enex Co. Ltd,Consumer Discretionary,011090.KS,EQ,
