Company Name,Industry,Symbol,Series,ISIN Code
KT & G Corporation,Consumer Staples,033780.KS,EQ,
APR Co.Ltd.,Consumer Staples,278470.KS,EQ,
Samyang Foods Co. Ltd,Consumer Staples,003230.KS,EQ,
Amorepacific Corp.,Consumer Staples,090430.KS,EQ,
CJ Corporation,Consumer Staples,001040.KS,EQ,
ORION CORP.,Consumer Staples,271560.KS,EQ,
LG H&H Co. Ltd.,Consumer Staples,051900.KS,EQ,
Youngone Corp.,Consumer Staples,111770.KS,EQ,
F&F Co. Ltd.,Consumer Staples,383220.KS,EQ,
Dongsuh Companies Inc.,Consumer Staples,026960.KS,EQ,
Dalba Global Co. Ltd.,Consumer Staples,483650.KS,EQ,
Nongshim Co. Ltd.,Consumer Staples,004370.KS,EQ,
Misto Holdings Corporation,Consumer Staples,081660.KS,EQ,
Youngone Holdings Co. Ltd.,Consumer Staples,009970.KS,EQ,
KOLMAR KOREA CO. LTD,Consumer Staples,161890.KS,EQ,
COSMAX Inc.,Consumer Staples,192820.KS,EQ,
Lotte Corp,Consumer Staples,004990.KS,EQ,
AMOREPACIFIC Holdings Corp.,Consumer Staples,002790.KS,EQ,
ORION Holdings Corporation,Consumer Staples,001800.KS,EQ,
OTOKI Corporation,Consumer Staples,007310.KS,EQ,
HITEJINRO CO LTD,Consumer Staples,000080.KS,EQ,
Lotte Chilsung Beverage Co. Ltd,Consumer Staples,005300.KS,EQ,
Lotte Wellfood Co.Ltd,Consumer Staples,280360.KS,EQ,
Daesang Corporation,Consumer Staples,001680.KS,EQ,
F&F Holdings Co. Ltd.,Consumer Staples,007700.KS,EQ,
LF Corp.,Consumer Staples,093050.KS,EQ,
Binggrae Co. Ltd,Consumer Staples,005180.KS,EQ,
Handsome Corp,Consumer Staples,020000.KS,EQ,
Samyang Corporation,Consumer Staples,145990.KS,EQ,
Nongshim Holdings Co. Ltd.,Consumer Staples,072710.KS,EQ,
Pulmuone Corporate,Consumer Staples,017810.KS,EQ,
Daesang Holdings Co. Ltd,Consumer Staples,084690.KS,EQ,
Hansae Co. Ltd,Consumer Staples,105630.KS,EQ,
SAMLIP,Consumer Staples,005610.KS,EQ,
Namyang Dairy Products Co. Ltd,Consumer Staples,003920.KS,EQ,
Hyundai Futurenet Co. Ltd,Consumer Staples,126560.KS,EQ,
JS Corporation,Consumer Staples,194370.KS,EQ,
Aekyung Industrial Co. Ltd.,Consumer Staples,018250.KS,EQ,
Able C&C Co Ltd,Consumer Staples,078520.KS,EQ,
KOLMAR HOLDINGS CO. LTD.,Consumer Staples,024720.KS,EQ,
BYC Co. Ltd,Consumer Staples,001460.KS,EQ,
Hannong Chemicals Inc.,Consumer Staples,011500.KS,EQ,
HWASEUNG ENTERPRISE Co. Ltd.,Consumer Staples,241590.KS,EQ,
TS Corporation,Consumer Staples,001790.KS,EQ,
Sajodaerim Corporation,Consumer Staples,003960.KS,EQ,
Muhak Co. Ltd.,Consumer Staples,033920.KS,EQ,
HITEJINRO HOLDINGS CO. LTD,Consumer Staples,000140.KS,EQ,
Hankook Cosmetics Manufacturing Co. Ltd,Consumer Staples,003350.KS,EQ,
IT'S HANBUL CO. LTD.,Consumer Staples,226320.KS,EQ,
Hansae Yes24 Holdings Co. Ltd,Consumer Staples,016450.KS,EQ,
Haitai Confectionery & Foods Co. Ltd.,Consumer Staples,101530.KS,EQ,
TONYMOLY Co. Ltd.,Consumer Staples,214420.KS,EQ,
SYTS Corp.,Consumer Staples,002170.KS,EQ,
Sajo Seafood Co. Ltd.,Consumer Staples,014710.KS,EQ,
Shinyoung Wacoal Inc.,Consumer Staples,005800.KS,EQ,
Hankook Cosmetics Co. Ltd,Consumer Staples,123690.KS,EQ,
Sempio Foods Co.,Consumer Staples,248170.KS,EQ,
CROWN CONFECTIONERY CO.LTD,Consumer Staples,264900.KS,EQ,
Shinwon Corporation,Consumer Staples,009270.KS,EQ,
Dongnam Chemical Co. Ltd.,Consumer Staples,023450.KS,EQ,
CROWNHAITAI Holdings,Consumer Staples,005740.KS,EQ,
SEMPIO COMPANY,Consumer Staples,007540.KS,EQ,
Choheung Corporation,Consumer Staples,002600.KS,EQ,
CJ Seafood Corporation,Consumer Staples,011150.KS,EQ,
Daehyun Co. Ltd,Consumer Staples,016090.KS,EQ,
HOJEON LTD,Consumer Staples,111110.KS,EQ,
SG Corporation,Consumer Staples,004060.KS,EQ,
WOOSUNG CO. LTD.,Consumer Staples,006980.KS,EQ,
Seoul Foods Industrial Co. Ltd.,Consumer Staples,004410.KS,EQ,
Hyungji Elite Inc.,Consumer Staples,093240.KS,EQ,
TBH GLOBAL CO. LTD.,Consumer Staples,084870.KS,EQ,
Bohae Brewery Co. Ltd.,Consumer Staples,000890.KS,EQ,
ONTIDE Corp.,Consumer Staples,005320.KS,EQ,
In the F CO.LTD.,Consumer Staples,014990.KS,EQ,
Maniker Co. Ltd,Consumer Staples,027740.KS,EQ,
Jindo Co. Ltd,Consumer Staples,088790.KS,EQ,
MetaLabs Co. Ltd.,Consumer Staples,090370.KS,EQ,
MH Ethanol Co. Ltd.,Consumer Staples,023150.KS,EQ,
HANSAEMK CO. LTD.,Consumer Staples,069640.KS,EQ,
VIVIEN CORPORATION,Consumer Staples,002070.KS,EQ,
Willbes & Co. Ltd,Consumer Staples,008600.KS,EQ,
