Company Name,Industry,Symbol,Series,ISIN Code
SK Square Co. Ltd.,Financials,402340.KS,EQ,
Samsung Life Insurance Co. Ltd.,Financials,032830.KS,EQ,
KB Financial Group Inc.,Financials,105560.KS,EQ,
Shinhan Financial Group Co. Ltd.,Financials,055550.KS,EQ,
SK Inc.,Financials,034730.KS,EQ,
Hana Financial Group Inc.,Financials,086790.KS,EQ,
MIRAE ASSET SECURITIES CO. LTD.,Financials,006800.KS,EQ,
Samsung Fire & Marine Insurance Co. Ltd,Financials,000810.KS,EQ,
Woori Financial Group Inc.,Financials,316140.KS,EQ,
Meritz Financial Group Inc.,Financials,138040.KS,EQ,
Industrial Bank Of Korea,Financials,024110.KS,EQ,
KOREA INVESTMENT HOLDINGS CO LTD,Financials,071050.KS,EQ,
NH INVESTMENT & SECURITIES CO.LTD.,Financials,005940.KS,EQ,
Samsung Securities Co. Ltd.,Financials,016360.KS,EQ,
KakaoBank Corp.,Financials,323410.KS,EQ,
Kiwoom Securities Co. Ltd,Financials,039490.KS,EQ,
DB INSURANCE CO. LTD,Financials,005830.KS,EQ,
BNK Financial Group Inc.,Financials,138930.KS,EQ,
Samsung Card Co. Ltd,Financials,029780.KS,EQ,
JB Financial Group Co. Ltd.,Financials,175330.KS,EQ,
HANWHA LIFE INSURANCE Co. Ltd.,Financials,088350.KS,EQ,
Hyosung Corporation,Financials,004800.KS,EQ,
Seoul Guarantee Insurance Company,Financials,031210.KS,EQ,
iM Financial Group Co. Ltd.,Financials,139130.KS,EQ,
Hyundai Marine & Fire Insurance Co. Ltd.,Financials,001450.KS,EQ,
Korean Reinsurance Company,Financials,003690.KS,EQ,
Mirae Asset Life Insurance Co. Ltd.,Financials,085620.KS,EQ,
Daishin Securities Co. Ltd,Financials,003540.KS,EQ,
DAOU TECHNOLOGY Inc.,Financials,023590.KS,EQ,
SK REIT Co. Ltd.,Financials,395400.KS,EQ,
Shinyoung Securities Co. Ltd.,Financials,001720.KS,EQ,
HANWHA INVESTMENT&SECURITIES Co. Ltd.,Financials,003530.KS,EQ,
Kyobo Securities Co. Ltd,Financials,030610.KS,EQ,
KB Balhae Infrastructure Fund,Financials,415640.KS,EQ,
TongYang Life Insurance Co. Ltd.,Financials,082640.KS,EQ,
LOTTE rental co. ltd.,Financials,089860.KS,EQ,
Yuanta Securities Korea Co. Ltd.,Financials,003470.KS,EQ,
HDC HOLDINGS CO. Ltd.,Financials,012630.KS,EQ,
LOTTE REIT Co. Ltd.,Financials,330590.KS,EQ,
ESR Kendall Square REIT Co. Ltd.,Financials,365550.KS,EQ,
Hanwha REIT Co. Ltd.,Financials,451800.KS,EQ,
Hanwha General Insurance Co. Ltd,Financials,000370.KS,EQ,
Shinhan Alpha REIT Co. Ltd.,Financials,293940.KS,EQ,
LX Holdings Corp.,Financials,383800.KS,EQ,
SK Securities Co. Ltd.,Financials,001510.KS,EQ,
Lotte Non-Life Insurance Co. Ltd,Financials,000400.KS,EQ,
Hyundai Motor Securities Co. Ltd.,Financials,001500.KS,EQ,
SamsungFN REIT Co. Ltd.,Financials,448730.KS,EQ,
DB Securities Co.Ltd,Financials,016610.KS,EQ,
Bookook Securities Co. Ltd,Financials,001270.KS,EQ,
Eugene Investment & Securities Co. Ltd.,Financials,001200.KS,EQ,
NICE Holdings Co. Ltd.,Financials,034310.KS,EQ,
KORAMCO THE ONE REIT,Financials,417310.KS,EQ,
KORAMCO LIFE INFRA REIT Co. Ltd,Financials,357120.KS,EQ,
Jeju Bank,Financials,006220.KS,EQ,
HANYANG SECURITIES Co. Ltd.,Financials,001750.KS,EQ,
KOREA ASSET IN TRUST CO. LTD,Financials,123890.KS,EQ,
Korea Real Estate Investment Trust Co. Ltd.,Financials,034830.KS,EQ,
IGIS Value Plus REIT Co. Ltd.,Financials,334890.KS,EQ,
JR GLOBAL REIT,Financials,348950.KS,EQ,
E KOCREF CR-REIT,Financials,088260.KS,EQ,
Heungkuk Fire & Marine Insurance Co. Ltd,Financials,000540.KS,EQ,
A Plus Asset Advisor Co. Ltd.,Financials,244920.KS,EQ,
Daol Investment & Securities Co. Ltd.,Financials,030210.KS,EQ,
KB STAR REIT,Financials,432320.KS,EQ,
Shinhan Seobu T&D REIT Co. Ltd.,Financials,404990.KS,EQ,
D&D Platform REIT Co. Ltd.,Financials,377190.KS,EQ,
AJ Networks Co. Ltd.,Financials,095570.KS,EQ,
Yuhwa Securities Co. Ltd.,Financials,003460.KS,EQ,
Chinyang Holdings Corporation,Financials,100250.KS,EQ,
NH All-One REIT Co. Ltd.,Financials,400760.KS,EQ,
IGIS RESIDENCE REIT Co. Ltd.,Financials,350520.KS,EQ,
SANGSANGININVESTMENT&SECURITIES CO.LTD.,Financials,001290.KS,EQ,
NH Prime REIT Co. Ltd.,Financials,338100.KS,EQ,
Mirae Asset Global REIT Co. Ltd.,Financials,396690.KS,EQ,
Miraeasset Maps REIT 1 Co. Ltd.,Financials,357250.KS,EQ,
Shinhan Global Active REIT Co. Ltd.,Financials,481850.KS,EQ,
K-Top Reits Co. Ltd.,Financials,145270.KS,EQ,
MASTERN PREMIER REIT 1 Co. Ltd.,Financials,357430.KS,EQ,
E-STARCO Co. Ltd.,Financials,015020.KS,EQ,
0JK River Stone Real Estate Investment Trust Incorporated,Financials,220421.KS,EQ,
0A SELF-ADMINISTERED REAL ESTATE INVESTMENT TRUST INC.,Financials,114091.KS,EQ,
K Bank Co. Ltd.,Financials,279570.KS,EQ,
Macquarie Korea Infrastructure Fund,Financials,088980.KS,EQ,
