Company Name,Industry,Symbol,Series,ISIN Code
SAMSUNG BIOLOGICS Co. Ltd.,Health Care,207940.KS,EQ,
Celltrion Inc.,Health Care,068270.KS,EQ,
SK Biopharmaceuticals Co. Ltd.,Health Care,326030.KS,EQ,
Hanmi Pharmaceutical Co. Ltd.,Health Care,128940.KS,EQ,
Yuhan Corporation,Health Care,000100.KS,EQ,
SK bioscience Co.Ltd.,Health Care,302440.KS,EQ,
Hanall Biopharma Co. Ltd.,Health Care,009420.KS,EQ,
GC Biopharma Corp.,Health Care,006280.KS,EQ,
Daewoong Pharmaceutical Co. Ltd.,Health Care,069620.KS,EQ,
Chong Kun Dang Pharmaceutical Corp.,Health Care,185750.KS,EQ,
Pharmicell Co. Ltd,Health Care,005690.KS,EQ,
SK Discovery Co. Ltd.,Health Care,006120.KS,EQ,
Daewoong Co. Ltd.,Health Care,003090.KS,EQ,
Boryung Corporation,Health Care,003850.KS,EQ,
Ildong Pharmaceutical Co. Ltd.,Health Care,249420.KS,EQ,
JW Pharmaceutical Corporation,Health Care,001060.KS,EQ,
Dong-A Socio Holdings Co. Ltd.,Health Care,000640.KS,EQ,
GC Corp.,Health Care,005250.KS,EQ,
BioNote Inc.,Health Care,377740.KS,EQ,
Shinpoong Pharmaceutical Co. Ltd.,Health Care,019170.KS,EQ,
Bukwang Pharmaceutical Co. Ltd.,Health Care,003000.KS,EQ,
Dentium Co. Ltd.,Health Care,145720.KS,EQ,
Dong-A ST Co. Ltd.,Health Care,170900.KS,EQ,
Kwang Dong Pharmaceutical Co. Ltd.,Health Care,009290.KS,EQ,
KOREA UNITED PHARM INC.,Health Care,033270.KS,EQ,
JW Holdings Corporation,Health Care,096760.KS,EQ,
YUNGJIN PHARM. CO. LTD,Health Care,003520.KS,EQ,
ILSUNG IS CO. LTD.,Health Care,003120.KS,EQ,
Samjin Pharmaceutical Co. Ltd.,Health Care,005500.KS,EQ,
Chong Kun Dang Holdings Co. Ltd.,Health Care,001630.KS,EQ,
Whan In Pharmaceutical Co. Ltd.,Health Care,016580.KS,EQ,
Reyon Pharmaceutical Co. Ltd.,Health Care,102460.KS,EQ,
Daewon Pharmaceutical Co. Ltd,Health Care,003220.KS,EQ,
JW LIFESCIENCE CORPORATION,Health Care,234080.KS,EQ,
Cosmax BTI Inc.,Health Care,044820.KS,EQ,
Hyundai Pharmaceutical Co. Ltd.,Health Care,004310.KS,EQ,
Jeil Pharmaceutical Co. Ltd.,Health Care,271980.KS,EQ,
Hana Pharm Co. Ltd.,Health Care,293480.KS,EQ,
Samil Pharmaceutical Co. Ltd.,Health Care,000520.KS,EQ,
Dong Wha Pharm Co. Ltd.,Health Care,000020.KS,EQ,
Ilyang Pharmaceutical Co. Ltd.,Health Care,007570.KS,EQ,
SAMSUNG PHARMACEUTICAL.CO.Ltd.,Health Care,001360.KS,EQ,
Kyongbo Pharmaceutical Co. Ltd.,Health Care,214390.KS,EQ,
Shinhung Co. Ltd,Health Care,004080.KS,EQ,
Handok Inc.,Health Care,002390.KS,EQ,
JEIL PHARMA HOLDINGS INC.,Health Care,002620.KS,EQ,
GeneOne Life Science Inc.,Health Care,011000.KS,EQ,
CKD Bio Corp.,Health Care,063160.KS,EQ,
Ildong Holdings Co. Ltd,Health Care,000230.KS,EQ,
KUKJE PHARMA Co. Ltd.,Health Care,002720.KS,EQ,
PharmGen Science Inc.,Health Care,004720.KS,EQ,
Yuyu Pharma Inc.,Health Care,000220.KS,EQ,
Hancom Lifecare Inc.,Health Care,372910.KS,EQ,
MYUNGMOON Pharm Co. Ltd.,Health Care,017180.KS,EQ,
Aprogen Biologics,Health Care,003060.KS,EQ,
Dongsung Pharmaceutical Co. Ltd.,Health Care,002210.KS,EQ,
Aprogen Inc,Health Care,007460.KS,EQ,
Myung in Pharm Co. Ltd.,Health Care,317450.KS,EQ,
