Company Name,Industry,Symbol,Series,ISIN Code
LG Energy Solution Ltd.,Industrials,373220.KS,EQ,
SAMSUNG C&T CORP,Industrials,028260.KS,EQ,
HD Hyundai Heavy Industries Co. Ltd.,Industrials,329180.KS,EQ,
Hyundai Mobis Co. Ltd,Industrials,012330.KS,EQ,
Doosan Enerbility Co. Ltd.,Industrials,034020.KS,EQ,
Samsung SDI Co. Ltd,Industrials,006400.KS,EQ,
LS Electric Co. Ltd.,Industrials,010120.KS,EQ,
HD Hyundai Electric,Industrials,267260.KS,EQ,
Hanwha Ocean Co. Ltd.,Industrials,042660.KS,EQ,
Hyosung Heavy Industries Corp.,Industrials,298040.KS,EQ,
Doosan Corporation,Industrials,000150.KS,EQ,
HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO. LTD.,Industrials,009540.KS,EQ,
Hanmi Semiconductor Co. Ltd,Industrials,042700.KS,EQ,
Samsung Heavy Industries Co. Ltd,Industrials,010140.KS,EQ,
Hyundai Rotem Co.,Industrials,064350.KS,EQ,
HD HYUNDAI CO.LTD.,Industrials,267250.KS,EQ,
HMM CO.LTD,Industrials,011200.KS,EQ,
HYUNDAI GLOVIS Co. Ltd.,Industrials,086280.KS,EQ,
LS Corp.,Industrials,006260.KS,EQ,
Doosan Robotics Inc.,Industrials,454910.KS,EQ,
POSCO INTERNATIONAL Corporation,Industrials,047050.KS,EQ,
HD Hyundai Marine Solution Co. Ltd.,Industrials,443060.KS,EQ,
SAMSUNG E&A CO. LTD.,Industrials,028050.KS,EQ,
Korean Air Lines Co. Ltd.,Industrials,003490.KS,EQ,
HYBE Co. Ltd.,Industrials,352820.KS,EQ,
Taihan Cable & Solution Co. Ltd.,Industrials,001440.KS,EQ,
HD Construction Equipment Co. Ltd.,Industrials,267270.KS,EQ,
Sanil Electric Co. Ltd.,Industrials,062040.KS,EQ,
Gaon Cable Co. Ltd.,Industrials,000500.KS,EQ,
kakaopay Corp.,Industrials,377300.KS,EQ,
Doosan Bobcat Inc.,Industrials,241560.KS,EQ,
Hanon Systems,Industrials,018880.KS,EQ,
Hanwha Engine Co. Ltd.,Industrials,082740.KS,EQ,
KEPCO Engineering & Construction Co. Inc.,Industrials,052690.KS,EQ,
Iljin Electric Co. Ltd.,Industrials,103590.KS,EQ,
LOTTE ENERGY MATERIALS CORPORATION,Industrials,020150.KS,EQ,
CJ CheilJedang Corporation,Industrials,097950.KS,EQ,
SL Corporation,Industrials,005850.KS,EQ,
HL Mando Co. Ltd.,Industrials,204320.KS,EQ,
DL E&C Co. Ltd.,Industrials,375500.KS,EQ,
Hyundai Elevator Co. Ltd,Industrials,017800.KS,EQ,
Pan Ocean Co. Ltd.,Industrials,028670.KS,EQ,
S-1 Corporation,Industrials,012750.KS,EQ,
SK Networks Co. Ltd.,Industrials,001740.KS,EQ,
HANKOOK & COMPANY CO. LTD.,Industrials,000240.KS,EQ,
DAEHAN SHIPBUILDING Co. Ltd.,Industrials,439260.KS,EQ,
KEPCO Plant Service & Engineering Co. Ltd,Industrials,051600.KS,EQ,
Hyundai Wia Corporation,Industrials,011210.KS,EQ,
HD-Hyundai Marine Engine Co. Ltd.,Industrials,071970.KS,EQ,
Hanmi Science Co. Ltd,Industrials,008930.KS,EQ,
DN AUTOMOTIVE CORPORATION,Industrials,007340.KS,EQ,
LS Eco Energy Ltd.,Industrials,229640.KS,EQ,
HJ SHIPBUILDING & CONSTRUCTION CO. LTD,Industrials,097230.KS,EQ,
CS Wind Corp.,Industrials,112610.KS,EQ,
Cheil Worldwide Inc,Industrials,030000.KS,EQ,
CJ Logistics Corp,Industrials,000120.KS,EQ,
Dongwon Industries Co. Ltd,Industrials,006040.KS,EQ,
STX Engine Co. Ltd.,Industrials,077970.KS,EQ,
Asiana Airlines Inc.,Industrials,020560.KS,EQ,
LX INTERNATIONAL CORP.,Industrials,001120.KS,EQ,
HAESUNG DS Co. Ltd.,Industrials,195870.KS,EQ,
IPARK Hyundai Development Company,Industrials,294870.KS,EQ,
SNT DYNAMICS CO. Ltd,Industrials,003570.KS,EQ,
Daewon Cable Co. Ltd.,Industrials,006340.KS,EQ,
SOLUM CO. LTD.,Industrials,248070.KS,EQ,
NICE Information Service Co. Ltd.,Industrials,030190.KS,EQ,
Junjin Construction & Robot Co. Ltd.,Industrials,079900.KS,EQ,
INNOCEAN Worldwide Inc.,Industrials,214320.KS,EQ,
IS Dongseo Co. Ltd.,Industrials,010780.KS,EQ,
SEJIN HEAVY INDUSTRIES CO. LTD.,Industrials,075580.KS,EQ,
SNT Holdings CO. LTD,Industrials,036530.KS,EQ,
SEBANG GLOBAL BATTERY Co. Ltd.,Industrials,004490.KS,EQ,
SNT MOTIV CO. LTD,Industrials,064960.KS,EQ,
SNTEnergy Co. Ltd.,Industrials,100840.KS,EQ,
Korea Line Corporation,Industrials,005880.KS,EQ,
MNC Solution Co. Ltd.,Industrials,484870.KS,EQ,
Poongsan Holdings Corp.,Industrials,005810.KS,EQ,
KISWIRE LTD,Industrials,002240.KS,EQ,
ILJIN HYSOLUS Co. Ltd.,Industrials,271940.KS,EQ,
Taeyoung Engineering & Construction Co. Ltd.,Industrials,009410.KS,EQ,
Heung-A Shipping Co. Ltd,Industrials,003280.KS,EQ,
Myoung Shin Industry Co. Ltd.,Industrials,009900.KS,EQ,
BGF CO. LTD.,Industrials,027410.KS,EQ,
SHINSUNG E&G Co.LTD.,Industrials,011930.KS,EQ,
DAE-IL Corp.,Industrials,092200.KS,EQ,
Samyung Trading Co. Ltd,Industrials,002810.KS,EQ,
Iljin Holdings Co. Ltd.,Industrials,015860.KS,EQ,
JEJUAIR CO. LTD.,Industrials,089590.KS,EQ,
Lotte Innovate Co Ltd,Industrials,286940.KS,EQ,
TCC Steel Corp.,Industrials,002710.KS,EQ,
Soosan Industries Co. Ltd.,Industrials,126720.KS,EQ,
SEOYON E-HWA Co. Ltd.,Industrials,200880.KS,EQ,
Hwashin Co. Ltd,Industrials,010690.KS,EQ,
Trinity Airways,Industrials,091810.KS,EQ,
KC CO. LTD.,Industrials,029460.KS,EQ,
HL Holdings Corporation,Industrials,060980.KS,EQ,
Chunil Express Co. Ltd,Industrials,000650.KS,EQ,
Hyundai Corporation,Industrials,011760.KS,EQ,
DAEWON KANG UP Co. Ltd.,Industrials,000430.KS,EQ,
JIN AIR Co. Ltd.,Industrials,272450.KS,EQ,
DS DANSUK Co. Ltd.,Industrials,017860.KS,EQ,
Sebang Co. Ltd.,Industrials,004360.KS,EQ,
GS Global Corp.,Industrials,001250.KS,EQ,
STIC Investments Inc.,Industrials,026890.KS,EQ,
TYM CORPORATION,Industrials,002900.KS,EQ,
