Company Name,Industry,Symbol,Series,ISIN Code
POSCO Holdings Inc.,Materials,005490.KS,EQ,
Korea Zinc Co. Ltd.,Materials,010130.KS,EQ,
LG Chem Ltd.,Materials,051910.KS,EQ,
Hanwha Corp,Materials,000880.KS,EQ,
SKC Co. Ltd.,Materials,011790.KS,EQ,
OCI Holdings Company Ltd.,Materials,010060.KS,EQ,
Hyundai Steel Company,Materials,004020.KS,EQ,
Ecopro Materials Co Ltd.,Materials,450080.KS,EQ,
KCC Corporation,Materials,002380.KS,EQ,
Lotte Chemical Corporation,Materials,011170.KS,EQ,
Kumho Petrochemical Co. Ltd.,Materials,011780.KS,EQ,
Hansol Chemical Co. Ltd,Materials,014680.KS,EQ,
ISU SPECIALTY CHEMICAL Co. Ltd.,Materials,457190.KS,EQ,
Kolon Industries Inc.,Materials,120110.KS,EQ,
Poongsan Corporation,Materials,103140.KS,EQ,
SeAH Besteel Holdings Corporation,Materials,001430.KS,EQ,
Hankuk Carbon Co. Ltd,Materials,017960.KS,EQ,
Hyosung TNC Corp.,Materials,298020.KS,EQ,
Sk Ie Technology Co. Ltd.,Materials,361610.KS,EQ,
LOTTE Fine Chemical Co. Ltd.,Materials,004000.KS,EQ,
Sam-A Aluminium Co. Ltd.,Materials,006110.KS,EQ,
Foosung Co. Ltd.,Materials,093370.KS,EQ,
DL Holdings Co. Ltd.,Materials,000210.KS,EQ,
OCI Company Ltd.,Materials,456040.KS,EQ,
Hanil Cement Co. Ltd.,Materials,300720.KS,EQ,
SK oceanplant Co.Ltd,Materials,100090.KS,EQ,
HS HYOSUNG ADVANCED MATERIALS,Materials,298050.KS,EQ,
Solus Advanced Materials Co. Ltd.,Materials,336370.KS,EQ,
SK Chemicals Co. Ltd.,Materials,285130.KS,EQ,
Korea Petro Chemical Ind. Co. Ltd.,Materials,006650.KS,EQ,
PI Advanced Materials Co. Ltd.,Materials,178920.KS,EQ,
SeAH Holdings Corporation,Materials,058650.KS,EQ,
Kum Yang Co. Ltd.,Materials,001570.KS,EQ,
TKG Huchems Co.Ltd.,Materials,069260.KS,EQ,
SeAH Steel Holdings Corporation,Materials,003030.KS,EQ,
KG DONGBUSTEEL CO. LTD.,Materials,016380.KS,EQ,
Miwon Commercial Co. Ltd,Materials,002840.KS,EQ,
AEKYUNG CHEMICAL CO. LTD,Materials,161000.KS,EQ,
Hanil Holdings Co. Ltd.,Materials,003300.KS,EQ,
DONGKUK STEEL MILL Co. Ltd.,Materials,460860.KS,EQ,
Cosmo Chemical Co. Ltd.,Materials,005420.KS,EQ,
DI DONG-IL Corporation,Materials,001530.KS,EQ,
Miwon Specialty Chemical Co. Ltd.,Materials,268280.KS,EQ,
Unid Co. Ltd,Materials,014830.KS,EQ,
Youlchon Chemical Co. Ltd.,Materials,008730.KS,EQ,
Samyang Holdings Corporation,Materials,000070.KS,EQ,
SeAH Steel Corp.,Materials,306200.KS,EQ,
KCC GLASS Corporation,Materials,344820.KS,EQ,
Shindaeyang Paper Co. Ltd,Materials,016590.KS,EQ,
Nexteel Co. Ltd.,Materials,092790.KS,EQ,
Asia Cement Co. Ltd,Materials,183190.KS,EQ,
POSCO STEELEON Co.Ltd.,Materials,058430.KS,EQ,
