Company Name,Industry,Symbol,Series,ISIN Code
Samsung Electronics Co. Ltd.,Technology,005930.KS,EQ,
SK hynix Inc.,Technology,000660.KS,EQ,
Samsung Electro-Mechanics Co. Ltd,Technology,009150.KS,EQ,
Hanwha Aerospace Co. Ltd.,Technology,012450.KS,EQ,
NAVER Corp.,Technology,035420.KS,EQ,
LG Innotek Co. Ltd,Technology,011070.KS,EQ,
Hyundai Autoever Corp.,Technology,307950.KS,EQ,
SAMSUNG SDS CO. LTD.,Technology,018260.KS,EQ,
POSCO FUTURE M CO. LTD.,Technology,003670.KS,EQ,
Kakao Corp.,Technology,035720.KS,EQ,
Hanwha Systems Co. Ltd.,Technology,272210.KS,EQ,
LIG Defense&Aerospace,Technology,079550.KS,EQ,
Korea Aerospace Industries Ltd.,Technology,047810.KS,EQ,
LG CNS Co. Ltd.,Technology,064400.KS,EQ,
Krafton Inc.,Technology,259960.KS,EQ,
ISU Petasys Co. Ltd.,Technology,007660.KS,EQ,
LG Display Co. Ltd,Technology,034220.KS,EQ,
Daeduck Electronics Co. Ltd.,Technology,353200.KS,EQ,
HANWHA SOLUTIONS CORPORATION,Technology,009830.KS,EQ,
DB HiTek Co. LTD,Technology,000990.KS,EQ,
NC Corporation,Technology,036570.KS,EQ,
L & F Co. Ltd.,Technology,066970.KS,EQ,
Doosan Fuel Cell Co. Ltd.,Technology,336260.KS,EQ,
POSCO DX COMPANY LTD.,Technology,022100.KS,EQ,
Netmarble Corp.,Technology,251270.KS,EQ,
Hanwha Vision Co. Ltd.,Technology,489790.KS,EQ,
DOUZONE BIZON CO.LTD,Technology,012510.KS,EQ,
Korea Circuit Co. Ltd.,Technology,007810.KS,EQ,
HD HYUNDAI ENERGY SOLUTIONS CO. LTD.,Technology,322000.KS,EQ,
SHIFT UP Corp,Technology,462870.KS,EQ,
NHN Corporation,Technology,181710.KS,EQ,
Cosmo AM&T Co. Ltd.,Technology,005070.KS,EQ,
DoubleUGames Co. Ltd.,Technology,192080.KS,EQ,
KCTECH CO. LTD.,Technology,281820.KS,EQ,
SAMWHA CAPACITOR CO. LTD.,Technology,001820.KS,EQ,
Young Poong Corporation,Technology,000670.KS,EQ,
BH Co. Ltd.,Technology,090460.KS,EQ,
SD Biosensor Inc.,Technology,137310.KS,EQ,
LX Semicon Co. Ltd.,Technology,108320.KS,EQ,
Jahwa Electronics Co. Ltd,Technology,033240.KS,EQ,
Korea Electric Terminal Co. Ltd.,Technology,025540.KS,EQ,
DAEDUCK Co. Ltd.,Technology,008060.KS,EQ,
Dongwon Systems Corporation,Technology,014820.KS,EQ,
DI Corporation,Technology,003160.KS,EQ,
AUK CORP.,Technology,017900.KS,EQ,
Korea Electric Power Industrial Development Co. Ltd.,Technology,130660.KS,EQ,
Socar Inc.,Technology,403550.KS,EQ,
Firstec Co. Ltd,Technology,010820.KS,EQ,
DB Inc.,Technology,012030.KS,EQ,
Woojin Inc.,Technology,105840.KS,EQ,
Hansol Technics Co. Ltd,Technology,004710.KS,EQ,
Sindoh Co. Ltd.,Technology,029530.KS,EQ,
MCNEX Co. Ltd.,Technology,097520.KS,EQ,
Dreamtech Co. Ltd.,Technology,192650.KS,EQ,
SAMYOUNG ELECTRONICS Co. Ltd.,Technology,005680.KS,EQ,
Samwha Electric Co. Ltd,Technology,009470.KS,EQ,
Shinsegae I&C Inc.,Technology,035510.KS,EQ,
HDC LABS Co. Ltd.,Technology,039570.KS,EQ,
KEC Corporation,Technology,092220.KS,EQ,
Y2 Solution CO. LTD,Technology,011690.KS,EQ,
Woongjin Co. Ltd.,Technology,016880.KS,EQ,
KidariStudio Inc.,Technology,020120.KS,EQ,
Asiana IDT Inc.,Technology,267850.KS,EQ,
Huneed Technologies Co. Ltd.,Technology,005870.KS,EQ,
ITCENCTS,Technology,031820.KS,EQ,
INBIOGEN CO. Ltd.,Technology,101140.KS,EQ,
Telcoware Co. Ltd,Technology,078000.KS,EQ,
TY Holdings Co. Ltd.,Technology,363280.KS,EQ,
SUNGMOON Electronics Co. Ltd.,Technology,014910.KS,EQ,
Sunny Electronics Corporation,Technology,004770.KS,EQ,
Samwha Electronics Co. Ltd.,Technology,011230.KS,EQ,
Iljin Display Co. Ltd,Technology,020760.KS,EQ,
AJIN ELECTRONIC COMPONENTS CO. LTD,Technology,009320.KS,EQ,
EXICURE HITRON,Technology,019490.KS,EQ,
MiraeING Co. Ltd.,Technology,007120.KS,EQ,
Kumho Electric Inc.,Technology,001210.KS,EQ,
Kyung In Electronics Co. Ltd.,Technology,009140.KS,EQ,
WISCOM Co. Ltd.,Technology,024070.KS,EQ,
Automobile & PCB Inc.,Technology,015260.KS,EQ,
Namsung Corporation,Technology,004270.KS,EQ,
Jooyontech Co. Ltd,Technology,044380.KS,EQ,
KEC Holdings Co. Ltd.,Technology,006200.KS,EQ,
