Company Name,Industry,Symbol,Series,ISIN Code
Korea Electric Power Corporation,Utilities,015760.KS,EQ,
Korea Gas Corporation,Utilities,036460.KS,EQ,
SK Gas Co. Ltd.,Utilities,018670.KS,EQ,
SK Eternix Co. Ltd.,Utilities,475150.KS,EQ,
Korea District Heating Corp.,Utilities,071320.KS,EQ,
SGC Energy Co. Ltd.,Utilities,005090.KS,EQ,
E1 Corporation,Utilities,017940.KS,EQ,
Samchully Co. Ltd,Utilities,004690.KS,EQ,
INVENI Co. Ltd.,Utilities,015360.KS,EQ,
SEOUL CITY GAS CO. LTD.,Utilities,017390.KS,EQ,
Daesung Industrial Co. Ltd,Utilities,128820.KS,EQ,
Daesung Energy Co. Ltd.,Utilities,117580.KS,EQ,
Hanjin Heavy Industries & Construction Holdings Co. Ltd.,Utilities,003480.KS,EQ,
KyungDong City Gas Co. Ltd.,Utilities,267290.KS,EQ,
DAESUNG HOLDINGS Co. Ltd.,Utilities,016710.KS,EQ,
KYUNGDONG INVEST CO. LTD.,Utilities,012320.KS,EQ,
Incheon City Gas Co. Ltd.,Utilities,034590.KS,EQ,
