Company Name,Industry,Symbol,Series,ISIN Code
America Movil,Communication Services,AMXB.MX,EQ,
Walmart de Mexico,Consumer Staples,WALMEX.MX,EQ,
Grupo Financiero Banorte,Financials,GFNORTEO.MX,EQ,
Fomento Economico (FEMSA),Consumer Staples,FEMSAUBD.MX,EQ,
Grupo Mexico,Materials,GMEXICOB.MX,EQ,
Grupo Bimbo,Consumer Staples,BIMBOA.MX,EQ,
Cemex,Materials,CEMEXCPO.MX,EQ,
Grupo Televisa,Communication Services,TLEVISACPO.MX,EQ,
Grupo Elektra,Financials,ELEKTRA.MX,EQ,
Grupo Carso,Industrials,GCARSOA1.MX,EQ,
Kimberly-Clark Mexico,Consumer Staples,KIMBERA.MX,EQ,
Coca-Cola FEMSA,Consumer Staples,KOFUBL.MX,EQ,
Arca Continental,Consumer Staples,AC.MX,EQ,
Gruma,Consumer Staples,GRUMAB.MX,EQ,
El Puerto de Liverpool,Consumer Discretionary,LIVEPOLC-1.MX,EQ,
Alsea,Consumer Discretionary,ALSEA.MX,EQ,
Grupo Aeroportuario Pacifico,Industrials,GAPB.MX,EQ,
Grupo Aeroportuario Sureste,Industrials,ASURB.MX,EQ,
OMA Airports,Industrials,OMAB.MX,EQ,
Orbia Advance,Materials,ORBIA.MX,EQ,
Alfa,Industrials,ALFAA.MX,EQ,
Grupo Financiero Inbursa,Financials,GFINBURO.MX,EQ,
Regional,Financials,RA.MX,EQ,
Gentera,Financials,GENTERA.MX,EQ,
Banco del Bajio,Financials,BBAJIOO.MX,EQ,
Megacable,Communication Services,MEGACPO.MX,EQ,
Industrias Penoles,Materials,PE&OLES.MX,EQ,
Grupo Cementos Chihuahua,Materials,GCC.MX,EQ,
Bachoco,Consumer Staples,BACHOCOB.MX,EQ,
Vesta,Real Estate,VESTA.MX,EQ,
Fibra Uno,Real Estate,FUNO11.MX,EQ,
Becle (Jose Cuervo),Consumer Staples,CUERVO.MX,EQ,
Genomma Lab,Health Care,LABB.MX,EQ,
Qualitas Controladora,Financials,Q.MX,EQ,
Grupo Comercial Chedraui,Consumer Staples,CHDRAUIB.MX,EQ,
Industrias CH,Materials,ICHB.MX,EQ,
Simec,Materials,SIMECB.MX,EQ,
Grupo Rotoplas,Industrials,AGUA.MX,EQ,
Fibra Prologis,Real Estate,FIBRAPL14.MX,EQ,
Fibra Macquarie,Real Estate,FIBRAMQ12.MX,EQ,
Terrafina,Real Estate,TERRA13.MX,EQ,
Grupo GICSA,Real Estate,GICSAB.MX,EQ,
Promotora y Operadora,Industrials,PINFRA.MX,EQ,
Grupo Aeromexico,Industrials,AEROMEX.MX,EQ,
Volaris,Industrials,VOLARA.MX,EQ,
Grupo Lala,Consumer Staples,LALAB.MX,EQ,
Grupo Herdez,Consumer Staples,HERDEZ.MX,EQ,
Grupo Sports World,Consumer Discretionary,SPORTS.MX,EQ,
Banco Santander Mexico,Financials,BSMXB.MX,EQ,
Operadora de Sites Mexicanos,Communication Services,SITESB-1.MX,EQ,
Grupo Mexico Transportes,Industrials,GMXT.MX,EQ,
