Company Name,Industry,Symbol,Series,ISIN Code
Walmart de Mexico,Consumer Staples,WALMEX.MX,EQ,
Fomento Economico (FEMSA),Consumer Staples,FEMSAUBD.MX,EQ,
Grupo Bimbo,Consumer Staples,BIMBOA.MX,EQ,
Kimberly-Clark Mexico,Consumer Staples,KIMBERA.MX,EQ,
Coca-Cola FEMSA,Consumer Staples,KOFUBL.MX,EQ,
Arca Continental,Consumer Staples,AC.MX,EQ,
Gruma,Consumer Staples,GRUMAB.MX,EQ,
Bachoco,Consumer Staples,BACHOCOB.MX,EQ,
Becle (Jose Cuervo),Consumer Staples,CUERVO.MX,EQ,
Grupo Comercial Chedraui,Consumer Staples,CHDRAUIB.MX,EQ,
Grupo Lala,Consumer Staples,LALAB.MX,EQ,
Grupo Herdez,Consumer Staples,HERDEZ.MX,EQ,
