Company Name,Industry,Symbol,Series,ISIN Code
Malayan Banking,Financials,1155.KL,EQ,
Public Bank,Financials,1295.KL,EQ,
CIMB Group,Financials,1023.KL,EQ,
Tenaga Nasional,Utilities,5347.KL,EQ,
Petronas Chemicals,Materials,5183.KL,EQ,
IHH Healthcare,Health Care,5225.KL,EQ,
Hong Leong Bank,Financials,5819.KL,EQ,
RHB Bank,Financials,1066.KL,EQ,
Hong Leong Financial,Financials,1082.KL,EQ,
Petronas Gas,Utilities,6033.KL,EQ,
Petronas Dagangan,Energy,5681.KL,EQ,
Maxis,Communication Services,6012.KL,EQ,
CelcomDigi,Communication Services,6947.KL,EQ,
Telekom Malaysia,Communication Services,4863.KL,EQ,
Axiata Group,Communication Services,6888.KL,EQ,
MISC,Industrials,3816.KL,EQ,
Sime Darby,Industrials,4197.KL,EQ,
SD Guthrie,Consumer Staples,5285.KL,EQ,
IOI Corporation,Consumer Staples,1961.KL,EQ,
Kuala Lumpur Kepong,Consumer Staples,2445.KL,EQ,
PPB Group,Consumer Staples,4065.KL,EQ,
Nestle Malaysia,Consumer Staples,4707.KL,EQ,
Press Metal Aluminium,Materials,8869.KL,EQ,
Genting,Consumer Discretionary,3182.KL,EQ,
Genting Malaysia,Consumer Discretionary,4715.KL,EQ,
MR DIY Group,Consumer Discretionary,5296.KL,EQ,
QL Resources,Consumer Staples,7084.KL,EQ,
Gamuda,Industrials,5398.KL,EQ,
IJM Corporation,Industrials,3336.KL,EQ,
YTL Corporation,Utilities,4677.KL,EQ,
YTL Power,Utilities,6742.KL,EQ,
Westports Holdings,Industrials,5246.KL,EQ,
Inari Amertron,Technology,0166.KL,EQ,
Hartalega Holdings,Health Care,5168.KL,EQ,
Top Glove,Health Care,7113.KL,EQ,
AMMB Holdings,Financials,1015.KL,EQ,
Bank Islam Malaysia,Financials,5258.KL,EQ,
Affin Bank,Financials,5185.KL,EQ,
Alliance Bank Malaysia,Financials,2488.KL,EQ,
Bursa Malaysia,Financials,1818.KL,EQ,
Allianz Malaysia,Financials,1163.KL,EQ,
Syarikat Takaful Malaysia,Financials,6139.KL,EQ,
Dialog Group,Energy,7277.KL,EQ,
Yinson Holdings,Energy,7293.KL,EQ,
Hibiscus Petroleum,Energy,5199.KL,EQ,
Genting Plantations,Consumer Staples,2291.KL,EQ,
FGV Holdings,Consumer Staples,5222.KL,EQ,
Fraser & Neave Holdings,Consumer Staples,3689.KL,EQ,
Carlsberg Brewery Malaysia,Consumer Staples,2836.KL,EQ,
Heineken Malaysia,Consumer Staples,3255.KL,EQ,
Padini Holdings,Consumer Discretionary,7052.KL,EQ,
AEON Co Malaysia,Consumer Discretionary,6599.KL,EQ,
Berjaya Sports Toto,Consumer Discretionary,1562.KL,EQ,
Sunway,Industrials,5211.KL,EQ,
Sunway REIT,Real Estate,5176.KL,EQ,
IGB REIT,Real Estate,5227.KL,EQ,
KLCCP Stapled Group,Real Estate,5235SS.KL,EQ,
Pavilion REIT,Real Estate,5212.KL,EQ,
UEM Sunrise,Real Estate,5148.KL,EQ,
SP Setia,Real Estate,8664.KL,EQ,
Malaysia Airports Holdings,Industrials,5014.KL,EQ,
Gas Malaysia,Utilities,5209.KL,EQ,
Malakoff,Utilities,5264.KL,EQ,
Cahya Mata Sarawak,Materials,2852.KL,EQ,
Malaysian Pacific Industries,Technology,3867.KL,EQ,
Vitrox,Technology,0097.KL,EQ,
Greatech Technology,Technology,0208.KL,EQ,
