Company Name,Industry,Symbol,Series,ISIN Code
Malayan Banking,Financials,1155.KL,EQ,
Public Bank,Financials,1295.KL,EQ,
CIMB Group,Financials,1023.KL,EQ,
Tenaga Nasional,Utilities,5347.KL,EQ,
Petronas Chemicals,Materials,5183.KL,EQ,
IHH Healthcare,Healthcare,5225.KL,EQ,
Hong Leong Bank,Financials,5819.KL,EQ,
RHB Bank,Financials,1066.KL,EQ,
Hong Leong Financial,Financials,1082.KL,EQ,
Petronas Gas,Utilities,6033.KL,EQ,
Petronas Dagangan,Energy,5681.KL,EQ,
Maxis,CommServices,6012.KL,EQ,
CelcomDigi,CommServices,6947.KL,EQ,
Telekom Malaysia,CommServices,4863.KL,EQ,
Axiata Group,CommServices,6888.KL,EQ,
MISC,Industrials,3816.KL,EQ,
Sime Darby,Industrials,4197.KL,EQ,
SD Guthrie,Consumer Staples,5285.KL,EQ,
IOI Corporation,Consumer Staples,1961.KL,EQ,
Kuala Lumpur Kepong,Consumer Staples,2445.KL,EQ,
PPB Group,Consumer Staples,4065.KL,EQ,
Nestle Malaysia,Consumer Staples,4707.KL,EQ,
Press Metal Aluminium,Materials,8869.KL,EQ,
Genting,ConsumerDisc,3182.KL,EQ,
Genting Malaysia,ConsumerDisc,4715.KL,EQ,
MR DIY Group,ConsumerDisc,5296.KL,EQ,
QL Resources,Consumer Staples,7084.KL,EQ,
Gamuda,Industrials,5398.KL,EQ,
IJM Corporation,Industrials,3336.KL,EQ,
YTL Corporation,Utilities,4677.KL,EQ,
YTL Power,Utilities,6742.KL,EQ,
Westports Holdings,Industrials,5246.KL,EQ,
Inari Amertron,Technology,0166.KL,EQ,
Hartalega Holdings,Healthcare,5168.KL,EQ,
Top Glove,Healthcare,7113.KL,EQ,
AMMB Holdings,Financials,1015.KL,EQ,
Bank Islam Malaysia,Financials,5258.KL,EQ,
Affin Bank,Financials,5185.KL,EQ,
Alliance Bank Malaysia,Financials,2488.KL,EQ,
Bursa Malaysia,Financials,1818.KL,EQ,
Allianz Malaysia,Financials,1163.KL,EQ,
Syarikat Takaful Malaysia,Financials,6139.KL,EQ,
Dialog Group,Energy,7277.KL,EQ,
Yinson Holdings,Energy,7293.KL,EQ,
Hibiscus Petroleum,Energy,5199.KL,EQ,
Genting Plantations,Consumer Staples,2291.KL,EQ,
FGV Holdings,Consumer Staples,5222.KL,EQ,
Fraser & Neave Holdings,Consumer Staples,3689.KL,EQ,
Carlsberg Brewery Malaysia,Consumer Staples,2836.KL,EQ,
Heineken Malaysia,Consumer Staples,3255.KL,EQ,
Padini Holdings,ConsumerDisc,7052.KL,EQ,
AEON Co Malaysia,ConsumerDisc,6599.KL,EQ,
Berjaya Sports Toto,ConsumerDisc,1562.KL,EQ,
Sunway,Industrials,5211.KL,EQ,
Sunway REIT,RealEstate,5176.KL,EQ,
IGB REIT,RealEstate,5227.KL,EQ,
KLCCP Stapled Group,RealEstate,5235SS.KL,EQ,
Pavilion REIT,RealEstate,5212.KL,EQ,
UEM Sunrise,RealEstate,5148.KL,EQ,
SP Setia,RealEstate,8664.KL,EQ,
Malaysia Airports Holdings,Industrials,5014.KL,EQ,
Gas Malaysia,Utilities,5209.KL,EQ,
Malakoff,Utilities,5264.KL,EQ,
Cahya Mata Sarawak,Materials,2852.KL,EQ,
Malaysian Pacific Industries,Technology,3867.KL,EQ,
Vitrox,Technology,0097.KL,EQ,
Greatech Technology,Technology,0208.KL,EQ,
