Company Name,Industry,Symbol,Series,ISIN Code
SD Guthrie,Consumer Staples,5285.KL,EQ,
IOI Corporation,Consumer Staples,1961.KL,EQ,
Kuala Lumpur Kepong,Consumer Staples,2445.KL,EQ,
PPB Group,Consumer Staples,4065.KL,EQ,
Nestle Malaysia,Consumer Staples,4707.KL,EQ,
QL Resources,Consumer Staples,7084.KL,EQ,
Genting Plantations,Consumer Staples,2291.KL,EQ,
FGV Holdings,Consumer Staples,5222.KL,EQ,
Fraser & Neave Holdings,Consumer Staples,3689.KL,EQ,
Carlsberg Brewery Malaysia,Consumer Staples,2836.KL,EQ,
Heineken Malaysia,Consumer Staples,3255.KL,EQ,
