Company Name,Industry,Symbol,Series,ISIN Code
Malayan Banking,Financials,1155.KL,EQ,
Public Bank,Financials,1295.KL,EQ,
CIMB Group,Financials,1023.KL,EQ,
Hong Leong Bank,Financials,5819.KL,EQ,
RHB Bank,Financials,1066.KL,EQ,
Hong Leong Financial,Financials,1082.KL,EQ,
AMMB Holdings,Financials,1015.KL,EQ,
Bank Islam Malaysia,Financials,5258.KL,EQ,
Affin Bank,Financials,5185.KL,EQ,
Alliance Bank Malaysia,Financials,2488.KL,EQ,
Bursa Malaysia,Financials,1818.KL,EQ,
Allianz Malaysia,Financials,1163.KL,EQ,
Syarikat Takaful Malaysia,Financials,6139.KL,EQ,
