Company Name,Industry,Symbol,Series,ISIN Code
ASML Holding NV,Technology,ASML.AS,EQ,
Wolters Kluwer NV,Technology,WKL.AS,EQ,
IMCD Group NV,Materials,IMCD.AS,EQ,
BE Semiconductor Industries NV,Technology,BESI.AS,EQ,
Basic-Fit NV,Consumer Discretionary,BFIT.AS,EQ,
Adyen NV,Technology,ADYEN.AS,EQ,
Unilever PLC,Consumer Staples,UNA.AS,EQ,
Heineken NV,Consumer Staples,HEIA.AS,EQ,
NN Group NV,Financials,NN.AS,EQ,
ING Groep NV,Financials,ING.AS,EQ,
ABN AMRO Bank NV,Financials,ABN.AS,EQ,
Randstad NV,Industrials,RAND.AS,EQ,
Akzo Nobel NV,Materials,AKZA.AS,EQ,
DSM-Firmenich AG,Materials,DSM.AS,EQ,
Philips NV,Technology,PHIA.AS,EQ,
KPN NV,Communication Services,KPN.AS,EQ,
Signify NV,Industrials,LIGHT.AS,EQ,
Just Eat Takeaway.com NV,Consumer Discretionary,TKWY.AS,EQ,
HAL Trust,Financials,HAL.AS,EQ,
QIAGEN NV,Health Care,QIAGEN.AS,EQ,
Aegon NV,Financials,AGN.AS,EQ,
Shell plc,Energy,SHEL.AS,EQ,
ArcelorMittal SA,Materials,MT.AS,EQ,
Galapagos NV,Health Care,GLPG.AS,EQ,
Flow Traders NV,Financials,FLOW.AS,EQ,
