Company Name,Industry,Symbol,Series,ISIN Code
ASML Holding,Technology,ASML.AS,EQ,
Wolters Kluwer,Technology,WKL.AS,EQ,
IMCD Group,Materials,IMCD.AS,EQ,
Besi,Technology,BESI.AS,EQ,
Basic-Fit,Consumer Discretionary,BFIT.AS,EQ,
Airbus SE,Industrials,AIR.AS,EQ,
Philips,Health Care,PHIA.AS,EQ,
Shell PLC,Energy,SHEL.AS,EQ,
ING Groep,Financials,INGA.AS,EQ,
ABN AMRO Bank,Financials,ABN.AS,EQ,
NN Group,Financials,NN.AS,EQ,
ASR Nederland,Financials,ASRNL.AS,EQ,
Euronext NV,Financials,ENX.AS,EQ,
Heineken,Consumer Staples,HEIA.AS,EQ,
Unilever PLC,Consumer Staples,UNA.AS,EQ,
Signify NV,Industrials,LIGHT.AS,EQ,
Randstad,Industrials,RAND.AS,EQ,
ArcelorMittal,Materials,MT.AS,EQ,
DSM-Firmenich,Materials,DSFIR.AS,EQ,
Akzo Nobel,Materials,AKZA.AS,EQ,
Fugro,Industrials,FUR.AS,EQ,
SBM Offshore,Energy,SBMO.AS,EQ,
OCI Global,Materials,OCI.AS,EQ,
Vopak,Industrials,VPK.AS,EQ,
PostNL,Industrials,PNL.AS,EQ,
Flow Traders,Financials,FLOW.AS,EQ,
Corbion,Materials,CRBN.AS,EQ,
Aalberts Industries,Industrials,AALB.AS,EQ,
TKH Group,Industrials,TWEKA.AS,EQ,
Adyen NV,Technology,ADYEN.AS,EQ,
CTP NV,Real Estate,CTPNV.AS,EQ,
Inpost SA,Industrials,INPST.AS,EQ,
Vastned Retail,Real Estate,VASTN.AS,EQ,
WDP NV,Real Estate,WDP.AS,EQ,
Eurocommercial Properties,Real Estate,ECMPA.AS,EQ,
Allfunds Group,Financials,ALLFG.AS,EQ,
JDE Peet's,Consumer Staples,JDEP.AS,EQ,
Stellantis NV,Consumer Discretionary,STLAM.AS,EQ,
Just Eat Takeaway,Consumer Discretionary,TKWY.AS,EQ,
Prosus NV,Technology,PRX.AS,EQ,
Universal Music Group,Communication Services,UMG.AS,EQ,
ASM International,Technology,ASM.AS,EQ,
Exor NV,Financials,EXO.AS,EQ,
Ahold Delhaize,Consumer Staples,AD.AS,EQ,
Aperam,Materials,APAM.AS,EQ,
Galapagos,Health Care,GLPG.AS,EQ,
Pharming Group,Health Care,PHARM.AS,EQ,
Arcadis,Industrials,ARCAD.AS,EQ,
BAM Groep,Industrials,BAMNB.AS,EQ,
Heijmans,Industrials,HEIJM.AS,EQ,
Brunel International,Industrials,BRNL.AS,EQ,
Accsys Technologies,Materials,AXS.AS,EQ,
Sligro Food Group,Consumer Staples,SLIGR.AS,EQ,
Wereldhave,Real Estate,WHA.AS,EQ,
NSI NV,Real Estate,NSI.AS,EQ,
Kendrion,Industrials,KENDR.AS,EQ,
Nedap,Technology,NEDAP.AS,EQ,
Avantium,Materials,AVTX.AS,EQ,
