Company Name,Industry,Symbol,Series,ISIN Code
ABN AMRO Bank NV,Financials,ABN.AS,EQ,
Accell Group NV,Consumer Discretionary,ACCEL.AS,EQ,
Aperam SA,Materials,APAM.AS,EQ,
Arcadis NV,Industrials,ARCAD.AS,EQ,
ASM International NV,Technology,ASM.AS,EQ,
Boskalis Westminster NV,Industrials,BOKA.AS,EQ,
Brunel International NV,Industrials,BRNL.AS,EQ,
Corbion NV,Materials,CRBN.AS,EQ,
Ctac NV,Technology,CTAC.AS,EQ,
Eurocommercial Properties NV,Real Estate,ECMPA.AS,EQ,
Fugro NV,Industrials,FUR.AS,EQ,
GrandVision NV,Consumer Discretionary,GVNV.AS,EQ,
Intertrust NV,Financials,INTER.AS,EQ,
Kendrion NV,Industrials,KENDR.AS,EQ,
Koninklijke BAM Groep NV,Industrials,BAMNB.AS,EQ,
Koninklijke TenCate NV,Industrials,KC.AS,EQ,
Lucas Bols NV,Consumer Staples,BOLS.AS,EQ,
Nedap NV,Technology,NEDAP.AS,EQ,
NSI NV,Real Estate,NSI.AS,EQ,
OCI NV,Materials,OCI.AS,EQ,
PostNL NV,Industrials,PNL.AS,EQ,
SBM Offshore NV,Energy,SBMO.AS,EQ,
TomTom NV,Technology,TOM2.AS,EQ,
Vastned Retail NV,Real Estate,VASTN.AS,EQ,
Vopak NV,Industrials,VPK.AS,EQ,
