Company Name,Industry,Symbol,Series,ISIN Code
Airbus SE,Industrials,AIR.AS,EQ,
Signify NV,Industrials,LIGHT.AS,EQ,
Randstad,Industrials,RAND.AS,EQ,
Fugro,Industrials,FUR.AS,EQ,
Vopak,Industrials,VPK.AS,EQ,
PostNL,Industrials,PNL.AS,EQ,
Aalberts Industries,Industrials,AALB.AS,EQ,
TKH Group,Industrials,TWEKA.AS,EQ,
Inpost SA,Industrials,INPST.AS,EQ,
Arcadis,Industrials,ARCAD.AS,EQ,
BAM Groep,Industrials,BAMNB.AS,EQ,
Heijmans,Industrials,HEIJM.AS,EQ,
Brunel International,Industrials,BRNL.AS,EQ,
Kendrion,Industrials,KENDR.AS,EQ,
Boskalis Westminster NV,Industrials,BOKA.AS,EQ,
Koninklijke TenCate NV,Industrials,KC.AS,EQ,
