Company Name,Industry,Symbol,Series,ISIN Code
Jarir Marketing Co.,Consumer Discretionary,4190.SR,EQ,
Jabal Omar Development Co.,Consumer Discretionary,4250.SR,EQ,
Americana Restaurants International PLC,Consumer Discretionary,6015.SR,EQ,
Taiba Investment Company,Consumer Discretionary,4090.SR,EQ,
MBC Group Company,Consumer Discretionary,4072.SR,EQ,
Saudi Real Estate Co.,Consumer Discretionary,4020.SR,EQ,
BinDawood Holding Company,Consumer Discretionary,4161.SR,EQ,
Abdullah Al Othaim Markets Co.,Consumer Discretionary,4001.SR,EQ,
National Co. for Learning & Education,Consumer Discretionary,4291.SR,EQ,
Leejam Sports Co.,Consumer Discretionary,1830.SR,EQ,
Saudi Automotive Services Co.,Consumer Discretionary,4050.SR,EQ,
Al Majed for Oud Company,Consumer Discretionary,4165.SR,EQ,
Al-Saif Stores for Development & Investment Co.,Consumer Discretionary,4192.SR,EQ,
Ataa Educational Company,Consumer Discretionary,4292.SR,EQ,
Nice One Beauty Digital Marketing Co.,Consumer Discretionary,4193.SR,EQ,
AFG International Company,Consumer Discretionary,4240.SR,EQ,
AlAmar Foods Co.,Consumer Discretionary,6014.SR,EQ,
Herfy Food Services Co.,Consumer Discretionary,6002.SR,EQ,
Tourism Enterprise Co.,Consumer Discretionary,4170.SR,EQ,
Al Khaleej Training & Education Co.,Consumer Discretionary,4290.SR,EQ,
Scientific and Medical Equipment House,Consumer Discretionary,4014.SR,EQ,
ARTEX Industrial Investment Company,Consumer Discretionary,2340.SR,EQ,
Saudi Co. for Hardware,Consumer Discretionary,4008.SR,EQ,
Abdullah Saad Mohammed Abo Moati for Bookstores Co.,Consumer Discretionary,4191.SR,EQ,
Sport Clubs Co.,Consumer Discretionary,6018.SR,EQ,
Lazurde Company for Jewelry,Consumer Discretionary,4011.SR,EQ,
BAAN Holding Group Company,Consumer Discretionary,1820.SR,EQ,
Saudi Marketing Co.,Consumer Discretionary,4006.SR,EQ,
Saudi Industrial Development Co.,Consumer Discretionary,2130.SR,EQ,
Shatirah House Restaurant Burgerizzr Co.,Consumer Discretionary,6016.SR,EQ,
Development Works Food Co.,Consumer Discretionary,6013.SR,EQ,
Naseej International Trading Co.,Consumer Discretionary,1213.SR,EQ,
Raydan Food Co.,Consumer Discretionary,6012.SR,EQ,
Dar Al Majed Real Estate Co.,Consumer Discretionary,4326.SR,EQ,
Marketing Home Group for Trading Co.,Consumer Discretionary,4194.SR,EQ,
