Company Name,Industry,Symbol,Series,ISIN Code
Almarai Company,Consumer Staples,2280.SR,EQ,
Saudia Dairy & Foodstuff Co.,Consumer Staples,2270.SR,EQ,
National Agricultural Development Co.,Consumer Staples,6010.SR,EQ,
Tanmiah Food Company,Consumer Staples,2281.SR,EQ,
Halwani Brothers Company,Consumer Staples,6001.SR,EQ,
Naqi Water Company,Consumer Staples,2282.SR,EQ,
Nofoth Food Products Co,Consumer Staples,2288.SR,EQ,
Wafrah for Industry & Development,Consumer Staples,2100.SR,EQ,
Saudi Fisheries Co.,Consumer Staples,6050.SR,EQ,
Tabuk Agricultural Development Co.,Consumer Staples,6040.SR,EQ,
