Company Name,Industry,Symbol,Series,ISIN Code
Dr. Sulaiman Al-Habib Medical Services Group Co.,Health Care,4013.SR,EQ,
Mouwasat Medical Services Co.,Health Care,4002.SR,EQ,
Jamjoom Pharmaceuticals Factory Co.,Health Care,4015.SR,EQ,
Astra Industrial Group,Health Care,1212.SR,EQ,
Dallah Healthcare Co.,Health Care,4004.SR,EQ,
Dr. Soliman Abdul Kader Fakeeh Hospital Co.,Health Care,4017.SR,EQ,
Almoosa Health Co.,Health Care,4018.SR,EQ,
National Medical Care Co.,Health Care,4005.SR,EQ,
Al Hammadi Holding,Health Care,4007.SR,EQ,
Specialized Medical Company,Health Care,4019.SR,EQ,
Saudi Pharmaceutical Industries & Medical Appliances Corp.,Health Care,2070.SR,EQ,
Middle East Healthcare Company,Health Care,4009.SR,EQ,
Middle East Pharmaceutical Industries Company,Health Care,4016.SR,EQ,
Canadian Medical Center Co.,Health Care,4021.SR,EQ,
Saudi Enaya Cooperative Insurance Company,Health Care,8311.SR,EQ,
