Company Name,Industry,Symbol,Series,ISIN Code
National Shipping Co. of Saudi Arabia,Industrials,4030.SR,EQ,
Ades Holding Company,Industrials,2382.SR,EQ,
Electrical Industries Co.,Industrials,1303.SR,EQ,
Riyadh Cables Group Co.,Industrials,4142.SR,EQ,
SAL Saudi Logistics Services Company,Industrials,4263.SR,EQ,
Nahdi Medical Company,Industrials,4164.SR,EQ,
Aldrees Petroleum & Transport Services Co.,Industrials,4200.SR,EQ,
Flynas Co.,Industrials,4264.SR,EQ,
Arabian Drilling Co.,Industrials,2381.SR,EQ,
National Industrialization Co.,Industrials,2060.SR,EQ,
Al-Babtain Power & Telecommunication Co.,Industrials,2320.SR,EQ,
CATRION Catering Holding Company,Industrials,6004.SR,EQ,
Saudi Research and Media Group,Industrials,4210.SR,EQ,
Saudi Ground Services Co.,Industrials,4031.SR,EQ,
Arabian Contracting Services Co.,Industrials,4071.SR,EQ,
Alkhorayef Water & Power Technologies,Industrials,2081.SR,EQ,
Al Dawaa Medical Services Co.,Industrials,4163.SR,EQ,
Almunajem Foods Company,Industrials,4162.SR,EQ,
Maharah Human Resources Co.,Industrials,1831.SR,EQ,
Sustained Infrastructure Holding Company,Industrials,2190.SR,EQ,
Saudi Ceramic Co.,Industrials,2040.SR,EQ,
Saudi Manpower Solutions Company,Industrials,1834.SR,EQ,
Gas Arabian Services Co,Industrials,4146.SR,EQ,
Advanced Building Industries Co.,Industrials,2240.SR,EQ,
Al Yamamah Steel Industries Co.,Industrials,1304.SR,EQ,
Almawarid Manpower Company,Industrials,1833.SR,EQ,
Thob Al-Aseel Co.,Industrials,4012.SR,EQ,
Saudi Public Transport Co.,Industrials,4040.SR,EQ,
Middle East Specialized Cables Co.,Industrials,2370.SR,EQ,
Batic Investments and Logistics Co.,Industrials,4110.SR,EQ,
Tamkeen Human Resources Company,Industrials,1835.SR,EQ,
Red Sea International Co.,Industrials,4230.SR,EQ,
AYYAN Investment Company,Industrials,2140.SR,EQ,
Saudi Cable Co.,Industrials,2110.SR,EQ,
Al Hassan Ghazi Ibrahim Shaker Co.,Industrials,1214.SR,EQ,
Fitaihi Holding Group,Industrials,4180.SR,EQ,
Alwasail Industrial Company,Industrials,4148.SR,EQ,
Baazeem Trading Co.,Industrials,4051.SR,EQ,
Sadr Logistics Co.,Industrials,1832.SR,EQ,
Saudi Printing & Packaging Co.,Industrials,4270.SR,EQ,
United Wire Factories Co.,Industrials,1301.SR,EQ,
Saudi Industrial Export Co.,Industrials,4140.SR,EQ,
Al Kathiri Holding Company,Industrials,3008.SR,EQ,
Tihama Advertising & Public Relations Co.,Industrials,4070.SR,EQ,
Anaam International Holding Group,Industrials,4061.SR,EQ,
Arab Sea Information Systems Co.,Industrials,7201.SR,EQ,
Saudi Vitrified Clay Pipes Co.,Industrials,2360.SR,EQ,
Al-Omran Industrial & Trading Co.,Industrials,4141.SR,EQ,
THIMAR Development Holding Co.,Industrials,4160.SR,EQ,
Saleh Abdulaziz Al Rashed & Sons Co.,Industrials,1324.SR,EQ,
Consolidated Grunenfelder Saady Holding Co.,Industrials,4147.SR,EQ,
