Company Name,Industry,Symbol,Series,ISIN Code
Saudi Aramco,Energy,2222.SR,EQ,
Saudi Basic Industries (SABIC),Materials,2010.SR,EQ,
Saudi Telecom Company (STC),Communication Services,7010.SR,EQ,
Al Rajhi Bank,Financials,1120.SR,EQ,
Saudi National Bank,Financials,1180.SR,EQ,
Riyad Bank,Financials,1010.SR,EQ,
Arab National Bank,Financials,1080.SR,EQ,
Banque Saudi Fransi,Financials,1050.SR,EQ,
Saudi British Bank,Financials,1060.SR,EQ,
Alinma Bank,Financials,1150.SR,EQ,
Bank AlJazira,Financials,1020.SR,EQ,
Saudi Kayan,Materials,2350.SR,EQ,
Maaden,Materials,1211.SR,EQ,
Yansab,Materials,2290.SR,EQ,
Petro Rabigh,Energy,2380.SR,EQ,
Saudi Electricity,Utilities,5110.SR,EQ,
Acwa Power,Utilities,2082.SR,EQ,
Jarir Marketing,Consumer Discretionary,4190.SR,EQ,
Advanced Petrochemical,Materials,2330.SR,EQ,
Dar Al Arkan,Real Estate,4300.SR,EQ,
Emaar Economic City,Real Estate,4220.SR,EQ,
Savola Group,Consumer Staples,2050.SR,EQ,
Almarai,Consumer Staples,2280.SR,EQ,
Saudi Cement,Materials,3030.SR,EQ,
Etihad Etisalat (Mobily),Communication Services,7020.SR,EQ,
Zain KSA,Communication Services,7030.SR,EQ,
Bupa Arabia,Health Care,8210.SR,EQ,
Tawuniya,Financials,8010.SR,EQ,
Dr Sulaiman Al Habib,Health Care,4013.SR,EQ,
Mouwasat Medical Services,Health Care,4002.SR,EQ,
Tasnee,Materials,2060.SR,EQ,
Yamama Cement,Materials,3020.SR,EQ,
Saudi Ceramic,Industrials,2040.SR,EQ,
Knowledge Economic City,Real Estate,4310.SR,EQ,
Abdullah Al Othaim Markets,Consumer Staples,4001.SR,EQ,
BinDawood Holding,Consumer Staples,4161.SR,EQ,
Bank AlBilad,Financials,1140.SR,EQ,
Saudi Investment Bank,Financials,1030.SR,EQ,
Al-Ahli Takaful Company,Financials,8040.SR,EQ,
Mediterranean and Gulf Cooperative Insurance,Financials,8030.SR,EQ,
Walaa Cooperative Insurance Co,Financials,8060.SR,EQ,
Saudi Arabia Cooperative Insurance Co,Financials,8050.SR,EQ,
Marafiq (Power & Water Utility Co),Utilities,2083.SR,EQ,
Saudi Arabian Fertilizer Company (SAFCO),Materials,2210.SR,EQ,
Arriyadh Development Co,Real Estate,4320.SR,EQ,
Arabian Cement Co,Materials,3010.SR,EQ,
Saudi Cable Company,Materials,2100.SR,EQ,
Saudi Steel Pipe Company,Materials,1320.SR,EQ,
Arabian Pipes Company,Materials,2200.SR,EQ,
National Company for Glass Ind,Materials,2150.SR,EQ,
