Company Name,Industry,Symbol,Series,ISIN Code
Atlas Copco,Industrials,ATCO-A.ST,EQ,
Volvo AB,Industrials,VOLV-B.ST,EQ,
Sandvik,Industrials,SAND.ST,EQ,
SKF,Industrials,SKF-B.ST,EQ,
Epiroc AB,Industrials,EPI-A.ST,EQ,
Alfa Laval,Industrials,ALFA.ST,EQ,
SSAB,Materials,SSAB-A.ST,EQ,
Boliden,Materials,BOL.ST,EQ,
Husqvarna,Consumer Discretionary,HUSQ-B.ST,EQ,
Ericsson,Technology,ERIC-B.ST,EQ,
Hexagon AB,Technology,HEXA-B.ST,EQ,
Embracer Group,Technology,EMBRAC-B.ST,EQ,
Evolution AB,Technology,EVO.ST,EQ,
Nibe Industrier,Industrials,NIBE-B.ST,EQ,
Sweco AB,Industrials,SWEC-B.ST,EQ,
Hexpol,Materials,HPOL-B.ST,EQ,
Trelleborg,Materials,TREL-B.ST,EQ,
H&M Group,Consumer Discretionary,HM-B.ST,EQ,
Electrolux,Consumer Discretionary,ELUX-B.ST,EQ,
CTEK AB,Consumer Discretionary,CTEK.ST,EQ,
Nordea Bank,Financials,NDA-SE.ST,EQ,
Svenska Handelsbanken,Financials,SHB-A.ST,EQ,
Swedbank,Financials,SWED-A.ST,EQ,
SEB AB,Financials,SEB-A.ST,EQ,
Tele2,Communication Services,TEL2-B.ST,EQ,
Telia Company,Communication Services,TELIA.ST,EQ,
Millicom International,Communication Services,TIGO-SDB.ST,EQ,
Betsson AB,Consumer Discretionary,BETS-B.ST,EQ,
AstraZeneca,Health Care,AZN.ST,EQ,
Swedish Orphan Biovitrum,Health Care,SOBI.ST,EQ,
Getinge,Health Care,GETI-B.ST,EQ,
Hemnet Group,Technology,HEM.ST,EQ,
EQT AB,Financials,EQT.ST,EQ,
Dometic Group,Consumer Discretionary,DOMETIC.ST,EQ,
BillerudKorsnäs,Materials,BILD.ST,EQ,
Fastighets Wallenstam,Real Estate,WALL-B.ST,EQ,
Castellum,Real Estate,CAST.ST,EQ,
Fabege,Real Estate,FABG.ST,EQ,
Investor AB,Financials,INVE-B.ST,EQ,
Industrivärden,Financials,INDU-C.ST,EQ,
Lundbergföretagen,Financials,LUND-B.ST,EQ,
Kinnevik,Financials,KINV-B.ST,EQ,
Latour,Financials,LATO-B.ST,EQ,
Lifco,Industrials,LIFCO-B.ST,EQ,
Indutrade,Industrials,INDT.ST,EQ,
Addtech,Industrials,ADDT-B.ST,EQ,
Beijer Ref,Industrials,BEIJ-B.ST,EQ,
Securitas,Industrials,SECU-B.ST,EQ,
Assa Abloy,Industrials,ASSA-B.ST,EQ,
SKF AB Series A,Industrials,SKF-A.ST,EQ,
Sinch,Technology,SINCH.ST,EQ,
Truecaller,Technology,TRUE-B.ST,EQ,
Saab AB,Industrials,SAAB-B.ST,EQ,
Sagax,Real Estate,SAGA-B.ST,EQ,
Balder,Real Estate,BALD-B.ST,EQ,
Wihlborgs Fastigheter,Real Estate,WIHL.ST,EQ,
Essity,Consumer Staples,ESSITY-B.ST,EQ,
Axfood,Consumer Staples,AXFO.ST,EQ,
