Company Name,Industry,Symbol,Series,ISIN Code
Atlas Copco,Industrials,ATCO-A.ST,EQ,
Volvo AB,Industrials,VOLV-B.ST,EQ,
Sandvik,Industrials,SAND.ST,EQ,
SKF,Industrials,SKF-B.ST,EQ,
Epiroc AB,Industrials,EPI-A.ST,EQ,
Alfa Laval,Industrials,ALFA.ST,EQ,
Nibe Industrier,Industrials,NIBE-B.ST,EQ,
Sweco AB,Industrials,SWEC-B.ST,EQ,
Lifco,Industrials,LIFCO-B.ST,EQ,
Indutrade,Industrials,INDT.ST,EQ,
Addtech,Industrials,ADDT-B.ST,EQ,
Beijer Ref,Industrials,BEIJ-B.ST,EQ,
Securitas,Industrials,SECU-B.ST,EQ,
Assa Abloy,Industrials,ASSA-B.ST,EQ,
SKF AB Series A,Industrials,SKF-A.ST,EQ,
Saab AB,Industrials,SAAB-B.ST,EQ,
