Company Name,Industry,Symbol,Series,ISIN Code
Singapore Airlines,Industrials,C6L.SI,EQ,
Keppel Corporation,Industrials,BN4.SI,EQ,
Jardine Matheson,Industrials,J36.SI,EQ,
Singapore Technologies,Industrials,S63.SI,EQ,
SATS Ltd,Industrials,S58.SI,EQ,
ComfortDelGro,Industrials,C52.SI,EQ,
SIA Engineering,Industrials,S59.SI,EQ,
Yangzijiang Shipbuilding,Industrials,BS6.SI,EQ,
Seatrium,Industrials,5E2.SI,EQ,
Singapore Post,Industrials,S08.SI,EQ,
Sembcorp Marine,Industrials,S51.SI,EQ,
Hutchison Port Holdings,Industrials,NS8U.SI,EQ,
