Company Name,Industry,Symbol,Series,ISIN Code
CapitaLand Investment,Real Estate,9CI.SI,EQ,
CapitaLand Integrated,Real Estate,C38U.SI,EQ,
Ascendas REIT,Real Estate,A17U.SI,EQ,
Mapletree Logistics,Real Estate,M44U.SI,EQ,
Mapletree Industrial,Real Estate,ME8U.SI,EQ,
Mapletree Pan Asia,Real Estate,N2IU.SI,EQ,
Frasers Logistics,Real Estate,BUOU.SI,EQ,
Hongkong Land,Real Estate,H78.SI,EQ,
City Developments,Real Estate,C09.SI,EQ,
UOL Group,Real Estate,U14.SI,EQ,
Suntec REIT,Real Estate,T82U.SI,EQ,
Keppel DC REIT,Real Estate,AJBU.SI,EQ,
Frasers Centrepoint,Real Estate,J69U.SI,EQ,
Bukit Sembawang Estates,Real Estate,B61.SI,EQ,
ParkwayLife REIT,Real Estate,C2PU.SI,EQ,
CapitaLand Ascott Trust,Real Estate,HMN.SI,EQ,
Frasers Property,Real Estate,TQ5.SI,EQ,
Far East Hospitality Trust,Real Estate,Q5T.SI,EQ,
ESR-LOGOS REIT,Real Estate,J91U.SI,EQ,
Yanlord Land Group,Real Estate,Z25.SI,EQ,
Wing Tai Holdings,Real Estate,W05.SI,EQ,
