Company Name,Industry,Symbol,Series,ISIN Code
PTT,Energy,PTT.BK,EQ,
Airports of Thailand,Industrials,AOT.BK,EQ,
Advanced Info Service,Communication Services,ADVANC.BK,EQ,
CP All,Consumer Staples,CPALL.BK,EQ,
Gulf Energy Development,Utilities,GULF.BK,EQ,
PTT Exploration,Energy,PTTEP.BK,EQ,
Siam Cement,Materials,SCC.BK,EQ,
Kasikornbank,Financials,KBANK.BK,EQ,
Bangkok Bank,Financials,BBL.BK,EQ,
Siam Commercial Bank,Financials,SCB.BK,EQ,
Krung Thai Bank,Financials,KTB.BK,EQ,
Bank of Ayudhya,Financials,BAY.BK,EQ,
TMBThanachart Bank,Financials,TTB.BK,EQ,
PTT Global Chemical,Materials,PTTGC.BK,EQ,
Indorama Ventures,Materials,IVL.BK,EQ,
Charoen Pokphand Foods,Consumer Staples,CPF.BK,EQ,
CP Axtra,Consumer Staples,CPAXT.BK,EQ,
Central Pattana,Real Estate,CPN.BK,EQ,
True Corporation,Communication Services,TRUE.BK,EQ,
Intouch Holdings,Communication Services,INTUCH.BK,EQ,
Bangkok Dusit Medical,Health Care,BDMS.BK,EQ,
Bumrungrad Hospital,Health Care,BH.BK,EQ,
Bangkok Expressway,Industrials,BEM.BK,EQ,
BTS Group,Industrials,BTS.BK,EQ,
Home Product Center,Consumer Discretionary,HMPRO.BK,EQ,
Berli Jucker,Industrials,BJC.BK,EQ,
Global Power Synergy,Utilities,GPSC.BK,EQ,
Electricity Generating,Utilities,EGCO.BK,EQ,
Ratch Group,Utilities,RATCH.BK,EQ,
Thai Oil,Energy,TOP.BK,EQ,
IRPC,Energy,IRPC.BK,EQ,
Banpu,Energy,BANPU.BK,EQ,
Minor International,Consumer Discretionary,MINT.BK,EQ,
Osotspa,Consumer Staples,OSP.BK,EQ,
Carabao Group,Consumer Staples,CBG.BK,EQ,
Delta Electronics Thailand,Technology,DELTA.BK,EQ,
PTT Oil and Retail,Energy,OR.BK,EQ,
Kiatnakin Phatra Bank,Financials,KKP.BK,EQ,
Tisco Financial Group,Financials,TISCO.BK,EQ,
Muangthai Capital,Financials,MTC.BK,EQ,
Srisawad Corporation,Financials,SAWAD.BK,EQ,
Krungthai Card,Financials,KTC.BK,EQ,
Sappe,Consumer Staples,SAPPE.BK,EQ,
Thai Union Group,Consumer Staples,TU.BK,EQ,
Betagro,Consumer Staples,BTG.BK,EQ,
Central Retail Corporation,Consumer Discretionary,CRC.BK,EQ,
Com7,Consumer Discretionary,COM7.BK,EQ,
Global Green Chemicals,Materials,GGC.BK,EQ,
Siam Cement Packaging,Materials,SCGP.BK,EQ,
Eastern Polymer Group,Materials,EPG.BK,EQ,
WHA Corporation,Real Estate,WHA.BK,EQ,
Amata Corporation,Real Estate,AMATA.BK,EQ,
Land and Houses,Real Estate,LH.BK,EQ,
Supalai,Real Estate,SPALI.BK,EQ,
Sansiri,Real Estate,SIRI.BK,EQ,
Pruksa Holding,Real Estate,PSH.BK,EQ,
Thai Airways International,Industrials,THAI.BK,EQ,
Bangchak Corporation,Energy,BCP.BK,EQ,
B Grimm Power,Utilities,BGRIM.BK,EQ,
Energy Absolute,Utilities,EA.BK,EQ,
Sri Trang Agro-Industry,Materials,STA.BK,EQ,
Star Petroleum Refining,Energy,SPRC.BK,EQ,
Bangkok Chain Hospital,Health Care,BCH.BK,EQ,
Chularat Hospital,Health Care,CHG.BK,EQ,
